stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.56,240.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.15,831.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.74,16.67,25.99,0,0,64.42,0,0,0,0,0,23.77,0,0,0,0,0,0,0,0,0,0,391.53,24.97,0,0,174.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.22,27.72,0,10.65,29.07,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,544.88,9.99,0,0,150.25,0,0,0,19.48,0,0,0,0,0,0,0
 14-21,0,0,0,17.64,7.67,7.48,0,0,0,4.57,0,0,0,0,0,0,0,0,4.2,0.95,0,6.68,131.88,0,0,0.94,2.48,0,0,13.23,1,12.26,24.94,0,0,3.45,0,0
 24-34,0,0.83,0,3.8,0.81,24.08,0,0,0,10.81,0,0,0,0,0,0.62,0,0,25.04,0,0,9.82,384.75,1.55,0,0.68,0,0,0.72,0,0,1.74,85.14,0,0,9.39,0,0
 36-46,0,0,0,1.63,0,28.47,0,0,0,16.71,0,0,1.34,0,0,0,0,0,19.11,0,0.8,2.46,186.89,0.97,0,0,0,0,1.8,0,0,0,25.96,0,0,0.6,0,1.22
 48-58,0,0,0,2.54,0,50.83,0,0,0,25.59,0.41,0,0,0,0,0,0,0,7.51,0,1.16,2.16,162.57,0,0,0,0,0,0,0,0,0,39.99,0,0,0.65,0,0
 60-70,0,0,0,1.72,0,132.62,0,0,5.09,25.35,0,0,0.59,0,0,1.22,0,0,44.47,0,1.52,2.1,227.11,2.09,0.67,0,0,4.52,7.98,0,0,0,43.79,0,0,5.12,0,1.98
 72-82,0,0,0.75,1.67,5.79,120.18,0,0,0.64,20.98,0.53,0,0,0,1.5,0,0,0,13.03,0,0.87,1.53,188.31,0,3.83,2.54,0,1.4,0.52,0,0,0,24.51,0,1.6,0.62,1.27,0
 84-94,0,0,0,0.8,0,105.27,0,0,0,18.05,0,0,1.72,0,0,0,0,0,22.55,0,1.8,2.54,96.52,0,3.68,1.67,0,0,0.74,0,0,0,9.95,0.78,1.76,3.78,0,3
 96-106,0,0,0,0,0,147.12,0.57,0.9,0.92,41.6,0,0,0.66,0,0.76,0,11.45,0.75,30,0,0,1.03,179.39,0,0,1.76,0,0,3.07,0,0,0,1.99,0,0,1.32,0,0.62
108-118,0,0,0,4.94,1.77,92.11,0,0,1.6,25.23,1.63,0,0,0,4.7,0.62,0,0,24.04,0,0.93,1.58,154.6,0,0.86,0.74,0,1.22,5.36,0,0,0,4.25,0,0,0,0,1.73
120,0,0,0,0,0,36.74,0,2.77,0,20.17,0,0,0,2.19,0,0,1.28,0,7.3,0,0,13.78,172.78,5.56,0,0,0,0,1,0,0,0,0,0,0,5.18,0,0
