stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,27.02,275.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0
  5-6,8.83,212.19,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.76,0,0,4.95,0,0,0,0,0,0,15.77,0,0,3.83,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,3.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,13.3,0,0,0,0,0.9,0,0,4.09,0,0,0
 24-34,0,0,0,0,0,2.88,0,3.37,0,0,0,0,0,2.16,0,119.8,1.49,2.16,0,1.23,0,0,1.76,11.32,0,0,0
 36-46,0,0,0,0,0,2.13,0,2.3,0,0,16.86,0,0,2.39,0,270.26,2.42,0.65,0,0.59,0,0,0,26.55,0,6.18,0
 48-58,0,0,0,4.24,0,12.32,0.44,5.59,0,5.22,0,0,1.39,3.58,0,267.89,3.94,0,0,0,0,0,0,27.76,0,0.75,0
 60-70,0,0,0,1.15,0,31.95,0,13.39,0,0.79,0,0,0,2.05,0.77,409.19,2.86,0,0,0,0,0,1.33,35.98,0,0,0
 72-82,0,0,1.81,4.55,0.58,59.72,0.92,20.66,0.55,3.15,0,0,0,13.04,0,568.82,3.81,0.64,0,0,0,0.57,0,27.99,0,0,0
 84-94,0,0,0,0,0,28.07,0,9.35,0,2.44,0,2.25,0,4.6,0,368.79,9.81,2.13,0,0,0,0,0,8.03,0,0,0
 96-106,0,0,0,0,7.72,45.15,0,16.78,0,1.58,0,0,0,12.89,0,294.59,4.95,3.31,0,4.14,0,0,5.77,8.8,0,0,4.5
108-118,0,0,0,3.77,0,76.55,0,27.67,0,0,0,0,0,17.84,0,438.88,5.19,9.53,0,3.44,0,0,0,7.24,1.16,0,0
120,0,0,0,18.91,0,135.64,0,26.54,0,5.36,0,0,0,27.02,0,1180.02,0,1.61,0,2.4,0,0,0,0,0,2.2,0
