stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,340.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,355.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.6,12.47,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.45,0,0,0,52.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,32.59,0,8.31,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.45,4.99,0,0,50.96,0,0,8.68,0,0,0,0,0,0,0
 14-21,0,0,1.69,2.24,3.34,1.49,0,0,0,0,0,3.44,0,0,0,0,0,0,0,5.11,0,2.78,36.55,0,0,0,0,0,5.05,0,0,3.89,7.46,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,1.09,0,0,0,1.55,0,0,0,0,0,0,0,2.41,0,2.23,63.35,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0.63
 36-46,0,0,0,0,1.21,0,0,2.63,0,0,1.59,1.59,0,0,0,0,0,0,0,2.12,0,3.6,96.2,0,0,1.66,0,0,0,0,0,0,4.65,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.99,0,0,0,1.59,2.21,0,0,0,0,0,0,4.34,0,0,802.47,0,0,0.44,0,0,0,0,10.64,0,2.35,0,0,0,4.2
 60-70,0,0,0,0,4.78,0,0,408.2,0,0,0.9,0.7,0,0,0,0,0,2.53,0,1.87,0,0,898.71,0,0,0,0,0,0,0,0,0,1.76,0,0,0.85,0
 72-82,0,0,0,0,5.06,0.55,0,27.47,0,0,0,5.11,0.63,0.78,0,0.83,0,0,0,881.19,0,1.97,1034.7,0,0.49,191.88,0,1.16,0,0,0,0,0,1.33,2.34,0,6.88
 84-94,0,0,0,0,0,0.69,0,19.82,0,0,0,0.78,1.07,0,0.93,0,1.03,0.58,1.05,7.65,0,2.66,1406.59,0,0,7.31,0,2.39,0,0,0,0,0,0,0,3.1,0
 96-106,0,0,2.86,0,1.45,2.8,0,53.58,0.65,1.96,0,20.89,3.17,0.94,0,0,0.79,0.93,0,16.59,0.97,0.84,762.1,0,1.4,78.46,0,19.94,0,0,0,0,6.89,0,0,3.87,0
108-118,0,0,725.59,0,2.41,3.08,7.61,29.02,0,1.9,2.65,5.15,1.99,215.77,0,0,0,0.97,0,36.83,0,0.59,5178.91,0,0.95,68.96,0,14.72,0,0,0,0,9.3,4.34,0,2.66,0
120,0,0,0,0,0,11.31,1.71,861.61,0,0,0,0,1.38,0,0,2.6,0,0,0,56.2,0,3.19,1632.6,0,0,0,0,1.45,0,0,0,0,16.69,0,0,0,0
