stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.37,306.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,15.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,0,0,3.54,0,0,0,32.27,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,131.48,10.98,0,0,64.19,0,0,13.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.84,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.12,15.08,0,0,167.62,0,0,0,4.36,15.72,0,11.22,0,0,0,0,0,0
 14-21,0,0,0,0.91,18.39,3.61,0,9.19,0.82,0,22.99,0,0,0,0,0,0,0,0,0,2.71,0,4.05,91.74,1.13,4.24,2.9,1.72,0,3.16,0,12.98,13.26,0,22.26,75.13,0,0,0.91,0,0
 24-34,0,0,0,0.67,7.28,0,0,21.73,0,1.4,18.23,0,0,4.07,0,0,0,2.98,0,0,13.84,0,6.34,191.05,0,9.36,1.44,0,0,5.75,0,0,8.59,0,2.17,63.29,0,0,0,0,0
 36-46,0,0,0,0,15.49,1.73,0,21.47,0.74,0,18.33,0.56,1.09,1.65,0,0,0,0,1.14,0,23.54,0,3.4,113.21,1.7,6.65,1.82,0,0,3.14,0,1.05,21.26,0,0,53.3,0,0,2.04,0,0
 48-58,0,0,0,0,0,0.88,0,21.07,0,0.41,24.82,0.41,0,0,0,0,0,3.21,0,0.83,31,0.56,3.81,68.78,0.56,10.12,0,0,0,0.52,0,0,2.49,2.4,0,45.11,0,0,5.2,0,4.28
 60-70,0,0,0,0,6.55,2.06,0,25.02,0,0,15.8,0,0,2.87,0,0.59,0.67,1.13,0,0,37.67,0,0,49.81,0,9.57,0,0,0,0.68,0,0,0,0,0,21.22,0.65,0,1.4,2.76,1.56
 72-82,0,0,1.22,0,2.12,36.6,0,9.55,0,0,18.37,0,0,0.79,0,0,0,1.45,0,6.63,57.69,2.13,1.39,38.78,0,7.61,1.4,0,0,1.76,0,0,1.15,0,0,6.87,7.88,0.51,4.18,0,0
 84-94,0,0,3.87,0,6.61,68.48,0,23.51,0.57,1.88,10.27,3.08,0,0,0.82,0.78,0,0,0,0,29.34,3.41,6.03,7.51,0,30.69,0.95,0,0,11.27,0,0,1.52,0,0,4.24,15.92,1.11,5.47,2.07,0
 96-106,0,0,1.43,0,7.72,65.26,0.6,3.53,1.19,0,25.36,3.12,0,0.76,7.09,1.33,0,6.76,10.52,7.05,32.07,0.93,1.26,26.6,0,13.97,6.57,0,1.82,14.1,0,0,2.47,0,0,3.87,1.48,0,5.32,2.68,1.69
108-118,0,0,0,0,12.92,29.49,1.58,9.62,0,3.53,24.48,0.47,0,0,0,2.32,1.56,1.65,0.43,0.55,38.24,0,0,25.84,0,3.87,3.83,0,0,12.56,0,0,1.13,0,0,14.97,3.36,2.28,1.5,1.1,4.14
120,0,0,0,0,2.69,44.33,0,0,1.12,0,22.67,1.21,0,0,0,2.71,0,0,0,0,7.79,2.58,0,9.53,4.31,14.82,4.56,0,0,0,0,0,1.87,0,0,0,2.06,1.51,1.82,0,0
