stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,5.15,42.44,10.67,23.98,0,0,0,5.53,0,1.29,2.04,2.27,0,0,0,0,0,19.42,0,0,13.04,270.52,11.25,1.21,0,1.68,6.79,27.77,0,15.68,99.36,0,0,0,0.84
 24-34,2.05,21.37,3.12,172.81,0,0.78,0,6.23,0,0,0,0,0,0,1.44,4.25,0,91.01,0.74,2.43,20.19,1120.51,1.34,9.13,11.09,0,11.21,0,0,5.73,221.61,0,0,18.43,0
 36-46,0,11.26,11.57,442.51,1.83,0.58,0,10.67,0,0,0.93,8.17,0.66,0,0,0.73,0,56.65,0,2.44,24.1,831.24,0,5.23,3.46,0,9.05,0,0,0,158.72,0,0,4.63,0
 48-58,0,1.86,0.81,443.79,0.38,2.15,0.95,11.88,2.5,0,0.58,0,0,0,0.41,2.5,0,68.18,0.42,0,18.71,347.31,1.72,0,0.67,0,4.73,0,0,0,45.54,0,0,14.06,0
 60-70,0,16.95,4.64,472.11,0,1.19,0,34.51,1.9,0,0.71,0.65,0,0.72,3.83,2.36,2.61,70.81,0,9.8,10.17,213.87,1.76,1.22,0.72,0,1.33,0,0,0,20.86,0,0.6,5.15,0
 72-82,3.31,9.08,2.76,91.48,0,0,1.05,6.18,1.38,0,1.05,2.65,0,0,0,0,0,44.24,0,3.62,7.42,65.97,1.8,3.85,0,0,0.58,0,3.72,0,2.3,0,0,0.57,0
 84-94,0,14.6,0,76.67,0,0,0,11.91,2.97,0,0,2.06,1.2,0.75,0.81,1.49,0,50.37,0,6.05,3.62,63.33,0,0,1.07,0,0.59,0,0,0,1.93,1.17,1.05,8.85,0
 96-106,0,1.85,0,27.42,0,0,0,5.62,2.97,0,0.58,0.93,0.66,0,0,0,0,17.01,0,0,2.12,41.08,0,0,0.58,0,0,0,0,0,0,0,0,1.42,0
108-118,0,3.61,0.56,49.91,0,0,0,5.99,1.23,0,0,1.22,0.94,3.22,2.83,0,0,12.46,0,2.08,1.03,63.88,0,0,0,0,0.79,0,0.53,0,0,0,0,4.17,0
120,0,1.7,3.68,117.99,0,0,8.89,27.55,1.24,0,0,2.99,0,0,0,0,0,30.58,0,0,9.28,114.15,0,0,9.66,0,1.37,0,0,0,1.19,0,0,7.58,0
