stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,21.62,0,0,0,0,0,0,0,0,0,0,0,0,15.62,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0
 10-12,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72,0,0,1.04,0,0,0,0,0,18.03,0,0,0,0,0
 24-34,0,0,0,5.13,1.16,5.6,0,0,0,4.84,0,0,0,0,0,1.76,0,0,353.08,0,4.49,0.74,0,0,0,0,0,81.48,0,0,0,0,0
 36-46,0,0,0,0,0,22.19,0,0,0,13.87,0,0,0,0,0,2.1,0,0.57,1027.13,0.85,3.26,1.03,0,0,1.22,0,0.75,143.06,0,0,0,0,0
 48-58,0,0,0,7.84,3.52,70.88,0.67,0,0,27.24,0,0.57,0,0,0,16.29,0,1.39,1889.68,0,8.82,2.89,0,0,1.47,0,0.41,190.62,0,0,0.45,0,4.8
 60-70,0,0,0,2.48,0,204.19,0,3.13,0,29.08,0,0,0,5.4,0,7.57,0,0,2481.97,0,5.95,0,0,0,6.82,0,3.97,200.39,0,0,2.18,0,6
 72-82,0,0.61,0,2.39,3.69,328.23,0,0,0.93,73.59,1.61,2.44,2.68,0,0,30.5,0,1.42,3059.11,4.03,4.49,2.54,0,3.17,4.46,2.73,0.53,205.05,0,1.22,7.08,0,9.51
 84-94,0,2.74,0,4.13,0.86,223.2,0.68,0,0,42.56,0.93,0,2.38,0.58,4.47,23.09,4.15,4.02,2097.99,0,7.32,3.66,0,0,6.29,0,0.83,179.27,5.2,1.63,2.05,0.82,8.7
 96-106,0,4.54,0,11.92,21.2,220.46,0,0,0,69.71,2.62,0.73,0,0,0,28.36,0,0,1835.98,0,12.79,2.21,0,0,7.86,0,0,65.93,1.08,0,2.78,0,0
108-118,0,0,0.74,9.54,4.96,185.79,0,0,0.43,80.13,2.9,0.6,4.34,0,0.73,22.98,0,0,2142.49,0.69,4.26,0.55,0,0,10.28,0,0.86,71.72,3.36,0,3.95,3.76,4.89
120,0,0,0,39.63,1.41,282.73,0,0,0,124.22,1.68,0,3.86,0,7.54,25.13,0,2.62,4301.58,9.49,3.22,0,0,0,18.41,0,1.63,123.01,0,4.12,0,0,0
