stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,9.57,29.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,0,0,0,0,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,3.22,0,0,0,0
 14-21,0,0,0.95,0.85,0,0,0,0,0,0,0,1.2,3.59,1.57,0,1.24,0,0,0.82,0,0
 24-34,0,0,0,0,1.89,0,0,0,0,0.93,1.31,0,5.47,0,0,0,0,0,0,1.33,3.16
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,2.32,0
 48-58,0,0,0,0,1.56,0,0,0,0,0,0,0,9.93,0,0,0,0,6.88,0,0,0
 60-70,0,0,0,0,2.93,0,0.92,0,0,0,2.6,0,0.64,0,0,0,0,0,0,0,0
 72-82,0,0,0.63,0,1.08,0,0,0.53,0,0,0.78,0,1.95,0,0,0,0,0,0,0,0
 84-94,0,0,0,9.87,0,0.6,0,0,0.6,0,7.41,1.34,0.91,0,0,0,0,4.41,0,0,0
 96-106,0,0,1.66,6.06,0,1.4,0.62,0,0,0,1.25,0,0,0,0.87,0,0,3.47,0,0,0
108-118,0,0,0,0,0,0.57,2.79,0,2.95,0,2.07,0,6.16,0.46,0,0,0,1.9,0,0,0
120,0,0,0,0,1.36,0,14.58,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0
