stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,702.31,10967.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.91,0,0,0,0,0,0,0,0
  5-6,735.26,10927.18,20.94,0,0,0,0,0,0,18.63,0,0,0,0,0,0,443.9,26.29,0,0,95.84,238.61,0,0,0,0,0,0,0,0
  7-9,131.3,130.04,266.14,0,0,431.23,0,0,0,246.21,0,0,0,0,0,0,3973.58,125.38,0,0,1462.79,6.68,57.34,0,0,0,0,0,0,0
 10-12,5.75,25.89,121.97,0,8.32,190.16,0,0,0,23.75,0,0,0,0,0,0,1449.09,59.95,0,0,619.82,0,16.3,0,86.98,0,4.75,0,0,0
 14-21,0,0,4.36,124.41,27.61,53.41,0,2.52,7.66,3.16,2.5,0.87,0,33.47,0,31.63,462.16,23.26,0,9.55,5.52,12.76,0.91,87.33,6.84,11.61,94.91,125,3.43,0
 24-34,0,0,0,2.88,0.81,12.33,0.81,3.23,0,0,0,0,1.51,14.23,0,6.67,84.93,1.05,0,0,0,13.54,0,0,0,0,2.14,17.27,0,0
 36-46,0,0,0,0.63,0,0.58,0,0,0,0,0,0,0,0.57,0.85,0,12.21,1.28,1.02,0,0,11.98,0,0,0,0,0,2,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.95,0,0,6.19,0,0,0,0,4.66,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,7.84,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,9.6
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
