stage,axial,blastomeres,endoderm,eye,hatching.gland,liver,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites
  3-4,54.11,1324.55,0,0,0,0,0,0,0,36.24,0,0,0
  5-6,99.54,1793.86,0,0,0,0,92.46,17.23,12.15,43.45,0,0,0
  7-9,84.97,68.32,70,111.36,115.18,0,958.35,68.81,382.91,6.61,0,0,0
 10-12,0,26.11,120.22,78.43,103.13,3.73,1351.79,148.43,531.6,5.07,4.43,77.18,11.4
