stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0
  5-6,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.23,0,0,0,10.44,0,0,0,0,0,19.64,0,0,0,17.48,0,9.95,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.66,4.29,0,0,14.38,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,1.02,0,0,0,1.23,0,4.72,0.85,0,0.8,0,0.81,0,2.74,2.05,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.64,0,10.25,0,0,0,0,0,0,20.95,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,3.63,1.7,0,0
 48-58,0,0,0,0,0,4.85,0.98,0,0,0,0,2.76,0,0,0,0,0,0,5.49,0,0,0
 60-70,0,0,0,0,0,2.46,0,0,0,0,0,2.59,0,0,0,0,0,0,0.93,1.66,0,0
 72-82,0,0,0,0,0,7.35,0,7.57,0,0.6,0,4.26,0,0,0,0,0,0,5.5,0,0,0.5
 84-94,0,0,0,0,0,7.03,2.55,10.21,0,6.43,0,5.49,0,0,0,0,0,0,14.29,0,0,0
 96-106,0,0,0,1.4,0,11.06,0,66.04,0,6.76,0,23.33,0,0,0,0,0,0,9.08,1.76,0,1.35
108-118,0,0.49,2.61,1.26,3.92,9.06,0,142.82,0.61,2.05,0.63,25.16,0,0.47,0,0,1.08,0,12.54,2.77,0.89,0
120,0,0,0,4.13,0,13.51,0,174.47,4.16,0,0,39.07,0,0,0,0,0,0,10.7,0,0,0
