stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.1,176.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0
  5-6,17.52,158.9,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.39,0,0,9.91,0,0,0,0,0,0,0,41.61,0,7.04,0,0,0,0,0,0,0,0,0
 10-12,0,5,0,0,0,3.11,0,0,0,0,0,0,0,76,0,39.13,0,0,0,5.73,0,0,0,0,0
 14-21,0,0,1.98,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,3.69,6.69,0,0,1.65,0
 24-34,0,0,0,0.59,0,2.53,0,0,0,0,0.61,0,0,10.46,0,0,0,0,0,0,2.1,0,0,0,0
 36-46,0,0,0,0,0,1.62,0,0,0,0,1.27,0,0,7.83,0,0,0,0,0,0,3.6,0,0,1.67,0
 48-58,0,0,0,0,0,3.46,0.46,0,0,0,7.54,0,0,25.22,0.6,0,0,0,0,0,3.49,0,0,0,0
 60-70,0,0,0,5.45,0,0.65,0,0,0,0,2.44,0,0,25.24,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,9.87,0,0,0,0,2.09,0,0,9.99,0,0,0,0,0,0,1.11,0,1.08,0.8,0
 84-94,0,0,0,0,0,1.63,10.23,0,0.56,0,8.31,0.57,1.18,7.01,0,0,0,1.92,0,0,2.93,0,0,1.77,0.68
 96-106,0,0,0,0,0,2.09,0,0,0,0,3.44,0,0,2.26,0,0,0,0,0.82,0,0,0,0,0,0
108-118,0,0,0,0.49,1.26,5.03,5.23,0,0,0.55,1.29,0,2.25,9.42,0.95,0,0,0.44,0,0,0,1.22,0,0,0
120,0,0,0,0,0,0,0,1.38,0,0,4.28,0,0,29.56,0,0,2.54,0,0,0,0,0,0,0,0
