stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,281.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,865.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0
  7-9,31.87,29.46,0,31.93,0,0,0,150.89,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,2142.24,36.65,0,0,373.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.4,0,51.83,0,0,0,59.34,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,919.33,11.83,0,0,285.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.45,31.08,0,0,20.35,0.87,0,0.87,1.67,0,0,0,0,0,0,8.48,0,13.51,0,11.49,110.99,9.38,0,5.53,0,0,2.45,12.04,0,10.79,43.52,0,0,0,0,0
 24-34,0,0,0,1.39,12.48,1.23,0,25.49,2.1,0.78,0.87,0.69,0,0,0,1.39,0.92,0,0,3.55,17.26,0,9.61,227.66,0.62,0,4.54,0,0,20.92,0,2.25,0,39.21,0,0,7.4,0,1.18
 36-46,0,0,0,0,25.24,0,0,18.83,0,0.78,8.9,1.33,0,0,0,0,3.54,1.39,0.93,1.14,20.18,0,4.36,133.94,10.64,0,3.72,0,0,22.08,0,0,0,33.36,0,0,2.91,0,1.74
 48-58,0,0,0,0,0.88,0,0,33.1,0,0.53,31.07,2.57,0,1.75,0,0,1.8,0.9,0,1.24,29.29,4.37,2.45,47.97,0,0,1.99,0,0.46,7.39,0,0,0,23.76,0,0.42,2.9,0,4.75
 60-70,0,0,0,0,22.46,0,0,16.17,1.7,0.79,24.5,0.59,0,0,0.98,0,0.72,0,1.2,5.53,36.32,0,3.45,48.07,0,0,0,0,2.16,10.93,0,1.17,0,5.28,0,0,10.44,1.92,0.97
 72-82,0,0,0.68,0,2.09,0,0,24.12,0,2.57,17.74,0.51,0,1.16,0,0,12.31,0.79,1.59,0,36.68,0.72,3.26,22.79,0,0,3.37,0,1.31,4.36,0,0.66,0,0.77,0,0.75,6.67,0,2.27
 84-94,0,0,0,0,1.56,0,0.74,18.83,0.62,1.65,18.27,1.59,0,0,2.67,0,7.35,0,2.96,2.87,34.18,1.4,0,17.82,1.13,0,0.83,0,0,11.03,0,1.61,0,5.33,0,6.71,13.47,0,1.56
 96-106,0,0,0,0,4.12,0.56,0,18.59,3.37,1.26,14.13,1.93,0,2.02,1.45,0,6.83,1.08,0,0,15.62,0,0.7,21.11,0,2.52,1.39,0,0,10.49,0,0,0,1.5,0,0,5.5,0.89,3.37
108-118,0,0,0,0,9.23,0,1.7,25.34,3.67,1.36,22.51,1.65,0,0,1.04,1.12,14.18,0,2.52,0.82,56.11,0,2.58,21.15,0,0,0.48,0,0,10.17,0,1.86,0,0,3.82,0,3.44,0,5.69
120,0,0,0,0,19.51,0,7.09,15.81,0,0,30.16,4.74,0,0,8.59,0,12.52,0,6.71,0,27.63,0,4.89,60.36,0,0,0,0,0,5.01,0,0,0,0,0,0,16.98,0,0
