stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,408.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0
  5-6,6.35,146.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,7.44,0,0,28.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.78,0,0,0,41.65,0,0,0,0,0,0,0,0,0
 10-12,0,12.26,8.97,0,0,14.52,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,155.6,4.32,0,0,36.57,0,6.12,0,0,0,0,0,0,0
 14-21,0,0,0.89,4.52,2.05,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,1.39,44.27,0,0,0.94,1.88,0.87,8.58,0,0,6.5,10.06,0,0,0
 24-34,0,0,0,0,1.44,9.77,0,0.78,0,0,0,0,0,0,1.65,0,0,0,0,2.22,0,1.56,49.66,0,0,0,0,0,0,0,0.67,2.5,10.4,0.8,0,0
 36-46,0,0,0,0,0,7.04,0,0,0,2.28,0,0,0,0,1.77,1.21,0,0,0,4.94,0.71,3.54,52.65,0,1.69,0,0,0,0,0,0,0,5.26,0,0,0
 48-58,0,0,0,3.77,0,28.24,0,0,1.12,6.82,0,0,0.51,0,0.55,0.41,0,0,0,9.95,0,6.54,80.75,1.33,0,0,0,0.4,0,0.61,0.46,0,9.37,0.56,0,0
 60-70,0,0,0,0,0,64.09,0,1.49,0.93,9.73,0,0,0,0,0,0,0,0,0,3.55,1.26,1.65,63.3,0.66,1.92,0,0,0,0,3.99,0,0,15.82,0.65,0,0
 72-82,0,0,0,0,0.64,23.84,0.49,0,0,3.52,0,0,0,0,0.54,0,0,1.08,0,1.38,0.55,4.47,63.48,0,0,0,0,1.79,0,0,0,0,3.85,2.83,0.51,1.71
 84-94,0,0,0,7.22,0,25.01,0,0.88,0.7,2.72,0,0,0,0,0.75,0,0,0,5.72,7.42,0,0.93,33.44,0,0,0,0,4.42,0,0,0,0,0,1.5,0,0
 96-106,0,0,0,0.57,0,2.95,0,0,0,4.94,0,0,0,0,0,0,3.57,0,0,8.95,0,0,41.89,0,2.29,0.6,0,10.02,0,1.41,0,0,1.5,2.63,0.63,0
108-118,0,0,0,0.42,0,5.36,0,0,0,8,1.09,0,0,3.14,1.15,0.74,0,1.89,0,11.02,0,0.56,40.31,0,0,0,0,4.17,0,0,0.53,0,0.58,0,4.1,0
120,0,0,0,4.59,0,7.56,0,0,0,11.63,0,0,0,6.51,0,0,0,1.5,0,7.94,0,7.01,29.43,0,0,0,0,4.83,0,0,0,0,0,0,0,0
