stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,lateral_line,liver,neural,olfactory,paraxial_mesoderm,periderm,taste,visceral_smooth_muscle,xanthophores
  3-4,29.02,363.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.99,259.7,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0
  7-9,5.4,0,0,0,14.83,0,0,0,0,0,127.88,0,18.42,8.31,0,0,0
 10-12,0,0,4.66,0,0,0,0,0,0,0,16.63,0,12.79,9.2,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 72-82,0,0,0,3.46,0,0,0,16.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.89,0,0,0,31.51,0,0,0.73,0.71,0,4.46,7.94,0,0
 96-106,0,0,0,3.06,0,0,0,78.47,0.75,0,6.73,1.7,0,0.72,3.87,0.91,5.94
108-118,0,0,0,9.92,7.88,0.58,0,86.31,0,1.39,12.68,0.92,0,0.93,4.34,0,0
120,0,0,0,7.34,0,0,1.75,49.66,4.79,0,4.17,5.08,0,0,0,0,0
