stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.66,473.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.28,0,0,0,0,0,0,0,0,0
  5-6,15.96,919.16,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,92.26,0,0,0,22.71,0,16.01,0,0,0,0,0,0,0,0,0
  7-9,16.98,5.33,0,11.09,0,0,15.68,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0,0,334.23,0,0,0,80.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.29,0,9.06,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.61,4.23,0,0,45.33,0,0,0,35.35,0,0,0,0,0,0,0
 14-21,0,0,1.07,2.21,50.09,7.82,40.58,0,0.87,0,14.6,1.68,0,0.81,0,0,0,0,0,0,51.61,0,19.47,623.08,9.7,3.96,4.49,21.45,0,6.45,79.93,3.55,3,59.78,166.5,0,0,0,0.85
 24-34,0,0,0,1.82,4.97,0,36.4,0,0,0.74,9.27,0,0,0,0,0.7,3.74,0,0,0,33.59,0,10.95,402.68,4.14,0.75,1.94,0,0.99,5.46,0,0.74,0,0.72,73.43,0,2.72,0,0.72
 36-46,0,0,0,0.96,1.82,0,67.96,0,0,0,14.69,0,0,1.87,0,0,2.34,1.27,0,0,28.44,0.67,7.74,251.41,0,0,1.39,0,0,7.41,1.63,0,0.58,0,36.89,0,4.75,0,0
 48-58,0,0,0,0,0.81,0,65.02,0,0,0,18.52,0,0,0.54,0.79,0,0.92,0,2.29,3.06,22.05,2.14,4.29,102.05,0.44,0,0,0,0,0,0,0,0,0,25.21,0.42,6.44,0,0
 60-70,0,0,0.7,0,4.33,0,31.53,0,0,2.51,13.17,0.62,0,0,0,0,0,0,0,0,26.9,12.34,3.9,106.67,0,0,0,0,0,0,0,0,0,0,5.76,0.82,0,0,0
 72-82,0,0,0,0,4.26,0.61,16.96,0,0,0.8,18.94,0.6,0,0.5,0,2.91,1.44,0,0,3.1,37.88,1.11,4.45,83.08,0,0.49,0,0,0,2.44,0,0,0,0,6.95,2.56,1.04,0.56,0
 84-94,0,0,0,0,6.41,0,24.01,1.34,0.56,4.57,12.28,0.59,0,1.22,0,0,1.29,0,0,0,41.07,5,6.03,80.67,0,0,0.74,0,0,0.85,0,0,0,0,10.9,0,4.33,0,0
 96-106,0,0,0,0,3.4,0,8.51,0,0,0,24.85,0.66,0,0.62,0,0,1.9,0,0,0,18.72,0.68,2.76,22.55,0,0,0.78,0,0,1.7,0,0,0,0,10.15,0,1.33,0,0
108-118,0,0,0,0,2.38,0,16.38,0,0.42,1.85,31.56,5.01,0,0,0,1.06,0,2.04,0,0,36.38,1.62,2.39,42.93,1.52,0,0.44,0,0,0,0,0.87,0,0,1.8,0.82,5.3,0.42,0.5
120,0,0,0,0,1.48,0,12.06,0,0,0,15.1,0,0,3.15,10.09,0,0,2.13,1.5,0,9.51,0,11.87,42.52,0,0,0,0,0,2.14,0,0,0,0,0,0,4.97,0,0
