stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.13,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.96,52.86,0,0,168,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.52,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.24,222.37,0,0,823.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.56,1.41,0,0,0,0,3.87,0,0,1.18,0,0,0,0,0,0,0,0,24.56,369.06,0,0,93.16,0,2.42,51.34,0,5.75,24.5,0,0,0,0
 24-34,0,0,0,0,0,0,0.78,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,59.65,6.68,11.79,1.55,0,0,0,0,0,0,2.64,0,0.83,0,0
 36-46,0,0,0,0,9.45,11.17,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,151.9,2.73,6.7,7.91,0,0,0,0,4.33,0,3.37,0,0,0,2.36
 48-58,0,0,0,2.04,0,42.1,0,0,2.25,0,0,0,0,0,2.65,0,0,2.16,0,0,3.28,256.72,0,7.14,8.07,0,0,0.59,0,0,0,32.96,0,0,0,3.66
 60-70,0,0,0,0,0,56.01,0,0,0.65,0,0,0,0,0,4.64,0,0,0,0,0,0,291.87,0,5.41,14.53,0,0,0,0,0,0,70.45,0,0,0.73,0
 72-82,0,0,0,0,0,46.96,0,10.22,7.54,2.68,0,0.71,0.52,0,26.29,0,0.55,7.23,0.66,0,0,401.03,0,9.04,13.56,0,0,0,0,0,0,95.87,0,0,0.93,0
 84-94,0,0,0,2.8,0,31.81,0,15.19,20.14,0,0,1.54,0,0,33.64,0,0,8.83,2.3,0.72,10.02,235.81,0,13.58,27.08,0,0,3.3,0,0,0,58.26,0,1.92,2.57,0
 96-106,0,0,0,10.79,1.92,15.72,0,1.52,48.03,0,0.78,7.28,0,0,113.08,1.54,0.67,4.84,1.07,0,0,389.49,0,7.15,15.02,0,2.63,12.54,0,0,0,16.04,0,2.17,0,14.04
108-118,0,0,0,1.01,0,50.73,1.96,5,121.79,1.19,0,0,0,1.05,71.19,3.71,1.65,6.69,0,2.61,0.76,403.09,0,4.75,25.12,0,0,0,0,0,0,28.38,6.29,0,3.1,0
120,0,0,0,0,4.06,24.98,1.21,0,104.52,3.94,0,0,0,0,39.3,0,3.24,0,0,0,6.51,495.19,0,0,18.38,0,0,3.2,0,0,0,7.83,0,2.64,7.86,0
