stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,9.56,0,0,0,0,0,0
 10-12,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,3.23,0,0,0,0,0,0
 14-21,0,0,11.23,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,7.28,0,2.23,1.58,0,0
 24-34,0,0.64,14.67,0,0,0,0,0,0,0,0,0,4.91,3.2,0,0,0,0.71,0,6.17,0,0,0,7.29,0,0,0,0,0
 36-46,0,0,11.45,0,0,0.58,0,0,0,0,0,0,1.2,1.78,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0
 48-58,0,0,4.45,0,1.12,1.98,0.66,0,0,0.48,0,0,0.77,11.11,0,0,0.64,0,0,3.31,3.44,0.48,0,23.15,0,0,1.25,0,3.6
 60-70,0,0,3.02,0,0,0,0,0,0,0,0,0,1.4,3.72,0,0,0.74,0,0,9.32,1.22,0,0,23.62,0,0,0,0.76,0.72
 72-82,0,0,16.71,0,0,1.06,4.21,0.65,0,0,0,0,0.7,1.84,0,0,0,0,0,1.14,1.49,0,0,9.64,0,0,0,5.98,0
 84-94,0,0,27.51,0,0.58,0.56,1.01,0,0,0,0,0,4.01,2.31,0,0,5.69,0,0,0,0,0,0,17.96,0,0,0,4.87,0
 96-106,0,0,26.95,0,4.96,2.17,0,1.14,2.54,0,0,1.43,12.38,7.12,2.58,0.6,6.73,1.15,0,12.2,2,0,0,49.97,0,0,0,10.64,0
108-118,0,0,64.87,1.78,6.87,0.58,1.04,1.08,4.01,0,0.69,0.75,7.58,10.88,2.15,0.54,13.6,0,0.88,2.16,1.03,0,0,57.51,0.94,0,0,9.73,0
120,0,0,62.98,0,0,2.85,0,0,3.91,0,0,1.38,13.1,1.62,0,3.02,10.46,0,0,8.23,0,3.16,0,49.72,0,0,0,5.28,4.56
