stage,axial,blastomeres,eye,fast.muscle,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,slow.muscle,somites
  3-4,0,222.37,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,102.95,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.64,0,0
 10-12,0,0,0,0,0,0,0,11.73,0,0,0,0
 14-21,0,0,0,0,0,0,2.78,0.81,0,0,3.44,1.79
 24-34,0,0,0,0,0,0,0.71,6.57,0.79,0,0,0
 36-46,0,0,0,0,0,2.63,0,0,0,0,0,0
 48-58,0,0,0.62,0,0,0.62,0,3.46,0,0,0,0
 60-70,0,0,0,0,8.52,0,0,2.22,0,0,0,0
 72-82,0,0,0.68,0.82,0.53,0,0,2,0.98,0,0,0
 84-94,0,0,0,0,0.71,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.1,0,0,0,0
108-118,0,0,0,0,0,0,0,3.26,2.23,0,0,0
