stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.32,34.18,6.52,0,41.62,0,0,0,6.74,1.21,0,0,0,0.89,0,0,0,33.4,0,0,23.11,410.35,5.55,0,3.8,7.74,0,5.97,53.52,2.05,0,66.67,110.63,0,0,0,0,0
 24-34,0,0.67,2.04,8.15,4.88,0,69.69,0,0,0.61,10.09,0,0,1.21,0,1.36,0,0,0,37.87,0,0,13.56,440.04,2.56,5.28,2.25,0,0,4.68,2.33,1.38,0,8.62,68.99,0,0,1.32,0,0
 36-46,0,0.61,0,5.41,0,0,93.53,0,5.51,0.57,16.94,0,0,0,0,0,0,0.74,0.85,42.54,0,0.63,10.79,389.03,0.85,5.29,0.72,0,0,1.4,0,0,0,0,46.94,0,0,1.76,0,0
 48-58,0.39,0,0,8.54,0,0,101.96,1.26,0,0.56,45.21,0.46,0,2.26,0,0,0,0.76,3.54,44.3,0,6.66,23.73,275.25,0.45,0.38,1.69,0,0,8.71,0,0,0,0,49.26,0,0,3.4,0,0
 60-70,0,0,0,1.02,0,0,106.65,0,0,1.44,40.06,0,0,0,0,0,0,0,0,35.11,0,11.95,8.08,241.4,0,1.19,2.71,0,1.22,1.27,0,0,1.25,0,36.24,0,0,0,0,0.91
 72-82,0,0,0,3.59,0,0,72.38,0,0,5.4,28.35,1.13,0,0,1.07,0,0,1.21,0,41.74,0,5.97,11.65,143.08,0,4.23,3.34,0,0,3.55,0,0,0,0,55.95,0.67,2.04,4.51,0,0
 84-94,0,0,0,5.87,0,1.76,68.02,0,0.63,2.73,12.26,1.48,0.91,1.57,1.01,2.46,0.8,2.62,0,46.8,0,0,12.44,97.09,0,2.46,0,0,0,6.39,0,0,0,0,18.77,2.73,0,1.17,0,0
 96-106,1.12,0,0,9.86,1.69,0,58.28,0,0,1.36,31.91,1.45,0,0,5.05,1.21,1.08,1.31,1.19,65.9,0,1.03,8.59,110.81,0,5.45,0,0,0,15.3,0,0.67,0.84,0,4.92,0.67,0,1.23,0,0.91
108-118,0,0,0,13.94,2.36,4.24,57.22,0,2.13,2.08,42.48,1.08,0,1.38,9.04,1.96,1.64,0.43,0.49,94.73,2.35,1.5,19.92,212.92,2.68,0,0.47,0,0,14.51,0,0.42,0,0,6.66,0.8,0,4.94,0.5,0.79
120,0,0,0,16.57,3.9,0,34.79,0,1.27,0,74.49,2.12,0,0,3.64,1.4,1.18,0,0,79.4,4.3,0,21.43,271.18,0,1.26,4.01,0,4.59,6.11,0,1.21,0,0,1.53,0,0,15.54,0,0
