stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72,0,3.96,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,7.4,0.95,0,0,0,0,0,0,0,0,0,0,0,0.6,1,1.04,0,5.35
 36-46,0,0,0,0,0,0,0,1.14,0,0,0,0,2.1,1.04,0,0,0,2.73,0,0,7.92,2.35,0,2.41,2.33,6.88
 48-58,0,0,0,0,0,0,0,0.49,0.41,0,0,0,1.04,0.98,0,0,0,14.5,0,0,0,0.77,0.98,0,0,0
 60-70,0,4.95,1.34,0,0.71,0,2,1.56,6.09,1.42,0.85,0,3.77,24.85,0,0,0.83,2.44,0,0,4.81,0,0,11.87,0.89,0
 72-82,0,0,2.37,0,0.9,0,0,2.67,9.62,0,1.4,0.68,4.12,53.92,0,0,0,9.74,1.49,0,2.24,1.95,0,19.67,4.94,8.58
 84-94,0,0,5.79,0,0.69,0,0,0,34.27,1.18,8.46,1.32,0,20.7,0,6.77,0,2.05,0,0,2.26,5.45,6.96,15.92,3.46,0
 96-106,0,1.1,25.24,6.54,0,0,0,3.09,15.7,0,4.18,0,0,28.65,0,8.04,0.71,7.04,0,0,17.7,5.25,0,22.97,4.89,0
108-118,0,0,4.28,5.92,2.61,0.49,0,2.46,34.49,0,14.12,0,2,7.57,0.53,1.7,0,15.35,0,0,3.11,1.05,2.77,23.07,4.18,3.03
120,0,1.18,31.91,0,0,0,0,1.85,57.98,0,16.53,0,0,0,0,2.61,0,24.93,0,0,0,4.43,0,22.82,0,0
