stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.05,359.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.67,0,0,0,0,0,0,0,0,0
  5-6,0,498.86,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,9.41,22.99,0,0,0,0,0,0,0,0,0
  7-9,21.78,4.47,0,37.83,0,0,0,74.2,0,0,0,0,22.14,0,0,0,0,0,0,0,0,0,0,0,542.2,49.77,0,0,160.41,0,12.22,0,0,0,0,0,0,0,0
 10-12,0,37.67,0,42.7,0,5.14,0,59.68,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,0,0,782.17,29.09,0,0,261.08,0,9.34,0,18.6,0,0,0,0,0,0
 14-21,0,0,0,0.81,12.17,0,0,5.17,0,0,1.7,0,0,0,0,0,0,0,0,0,2.98,0,0,5.31,80.92,1.08,0,0.99,2.89,0,0,9.88,0.81,11.78,27.07,0,2.4,0,0
 24-34,0,0,1.51,0,2.54,0.62,0,11.27,0,1.71,2.49,0,0,1.13,0,0,0,0,0,0,11.4,0,0,6.84,200.67,0,4.46,0.74,0,3.89,0,0,0,1.91,54.85,0,5.43,0,2
 36-46,0,0,0,0,1.33,0,0,33.18,1.14,0.62,9.6,0,0,0,0,0,0,0,0,0.61,11.2,0,1.83,2.26,232.76,0.58,4.03,0.58,0,4.3,0,0,0,0,53.79,0,9.23,0,0
 48-58,0,0,0,0,3,0,0,77.14,0.4,0.84,8.9,0,0,0.45,0,0,0,0.95,0,0,22.03,1.28,0.95,4.63,202.1,0,2.02,0.44,0,0,0.56,0,0,0,64.41,0,0.82,0,1.18
 60-70,0,0,0,0,0,1.1,0,83.59,0,0,14.85,0,0,0,0,0,0,0,0,0,41.09,2.07,0,0.82,161.79,0,0,0,0,0.76,0,0,0,0,35.14,0,1.11,0,0
 72-82,0,0,0,0,0.91,13.85,0,83.42,0,4.92,10.33,0,0,0,0.54,0.53,0,0,0,0,37.29,0,0,1.17,124.93,0,6.89,1.02,0,3.78,0,0,0,0,14.03,0,2.35,0,8.31
 84-94,5.55,0,0,0,4.16,2.16,0,78.3,0,1.45,18.57,0,0,0.85,0,1.39,0,0,0,1.76,30.9,0,3.18,2.23,115.56,0,3.72,2.14,0,7.94,0,0,0,0,6.35,1.6,1.49,0,0
 96-106,0,0,1.15,0,5.11,2.02,0.6,70.96,0,0.77,8.22,2.27,0,0,1.74,0,1.08,0,1.67,0,36.68,0,0.69,8.46,96.07,0,0,3.78,0,1.66,0,0,0,0,2.71,0,4.13,0,0
108-118,0,0,0,0,5.31,0,4.27,34.12,1.29,0,18.1,1.38,0,0,1.83,3.6,2.2,0,0,0,49.53,0,3,5.77,102.82,0.46,0,0.77,0,1.91,0,0,0,0,0.69,0,0,0.44,1.15
120,0,0,0,0,13.59,1.96,0,24.93,1.22,0,1.43,0,0,0,0,0,0,0,0,0,29.02,1.56,0,6.51,149.17,0,1.09,0,0,2.33,0,0,0,0,0,0,1.72,0,0
