stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,6.55,0
 24-34,0,0,0,0,0,0,0,1.32,0,0,9.51,0,1.91,0,0,0,3.33,0
 36-46,0,0,0.8,0,1.39,0,0,6.36,0,2.88,15.36,2.14,2.39,0,6.35,0,2.71,1.27
 48-58,0,3.23,6.08,0,0,1.62,0.87,1.35,0,0,20.43,0,1.22,0,0.42,0,7.62,0
 60-70,0,0,11.55,0,0,0.96,0,0,0,0,18.71,0,1.91,0,0,0,6.14,0
 72-82,0,0,18.17,0,0,2.67,0,2.57,0.75,0,46.37,0,0,0,1.04,0.55,1.19,0
 84-94,0,0.56,3.81,0,0,0,0,2.78,0,0,12.21,0,0,0,6.93,0,0.83,0
 96-106,1.56,0,12.25,2.82,0,2.52,0,1.96,0,0,10.02,0,3.59,4.1,1.55,0,0,0
108-118,0,0,9.72,0,0,2.51,0,4.31,1.34,0,12.17,0,0.64,0,0,0.55,0,0
120,0,0,28.04,0,0,4.92,0,2.5,0,0,37.46,0,0,0,0,0,0,0
