stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,190.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.21,176.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,9.37,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0
  7-9,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.22,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,1.54,0,0,0,0.86,0,0,0,0,0,0,0,0,1.22,0,0,0,13.97,0,0,0,0,0,4.39,0,0,0,6.67,0,0,1.17,0,0
 24-34,0,0,0.67,1.43,0,0,5.56,0,0,0,0.91,0,0,0,0,0,0,0,0,0.65,0,0,0,182.31,0,1.22,0,0,0,4.01,0,0,0.62,21.35,0,0,0,0,0
 36-46,0,0,0,8.53,0,0,9.13,0,0,0,35.6,0,0,0,1.79,0,0,0,0,3.91,0,0,0.73,388.73,0,0,0,0,0,4.48,0,0,0,53.55,0,0,1.51,0,0
 48-58,0,1.29,0,4.47,0,0,63.06,0,0.37,0,83.05,0,0.54,0.64,0,0,0,0,1.66,14.58,0.41,0,3.77,791.47,0.94,1.72,2.08,0,0,11.07,0,0.73,0,111.13,0,0,1.32,0,0
 60-70,0,0,0,2.02,0,0,196.01,0.78,1.4,0,136.33,0,0,0,0,0,0,0,0,39.3,3.54,0,1.65,1495.74,0,1.56,3.79,0,0,7.37,0,0,0,231.24,0,0,0,0,0.69
 72-82,0,0,0.64,1.26,0,0,383.05,0,0,0,167.38,0.71,0.87,0.49,0,0,0,1.6,0,20.95,1.06,0,0,1842.83,0,2.94,0.99,0,1.31,0,0.61,0,0,127.56,0,0.51,3.14,0,0
 84-94,0,0,0,5.08,6.73,0,255.59,0,0,0,91.45,1.85,0.97,0,0,0,5.33,10.76,0,35.98,5.77,2.34,0,1203.36,0,0,0,0,0,10.65,0,0,0,95.39,0.9,0.63,0.57,2.23,0
 96-106,0,0,0.9,8.49,6.78,0.59,248.9,0,0,1.83,122.97,1.38,0.96,0.56,0,0,0,3.05,0,10.83,3.11,0,0,1015.16,0.97,1.57,4.3,0,0,5.79,0,0,0,55.42,4.29,0,0,0,0
108-118,0,0,3.86,18.55,0,0,259.05,0.9,0.72,0,111.32,0,0.43,0.85,0,0,0.41,9.71,0,26.2,4.18,0,3.98,998.02,0,0,4.71,0,0,5.07,0,0,0,61.27,4.32,0,6.18,2.47,2.26
120,0,0,8.73,25.52,0,0,344.53,0,0,1.6,212.2,0,0,8.74,0,1.91,6.94,8.74,0,33.47,15.39,9.54,0,2287.19,0,5.56,5.75,0,0,1.82,0,0,0,59.91,4.88,0,3.98,0,0
