stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0.89,0,0,0,0,0
 24-34,0,0,0,0,0.69,0,0,0,0,0,0.65,0,3.75,0,0,0,2.72,0.63,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,3.31,1.6,0,0,0,0
 48-58,0,1.21,0,0,0,0,0,0.87,0,0,0,0,2.38,0,0,3.86,5.81,0,0,0,0,0
 60-70,0,6.42,0,3.07,0,0,0,0,0,0,1.03,0,4.2,0,0,3.79,0,0,0,1.27,0,0
 72-82,0,0,0,8.36,0,0,0,3.13,0,0,1.12,0,0.98,0,0,1.02,2.43,0,0,0,8.76,0
 84-94,0,0,3.44,1.2,0,0,0.73,1.71,0,0.56,0,0.68,0,0,0,6.44,1.99,0,0,0,0.91,2.71
 96-106,0,0.6,0,1.04,0,2.01,0,4.78,0,3.86,0,0,0,1.35,3.89,4.31,0.61,0,1.26,0,6.78,0
108-118,0,0.91,0,6.9,0,0,1.05,2.53,0.48,0,9.08,0.48,1.1,0,0,2.24,3.58,0,0,0,6.08,0
120,0,0,0,0,0,0,1.55,8.76,0,0,0,0,14.6,0,0,6.08,0,0,1.06,0,1.78,12.53
