stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.24,268.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.39,417.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,28.13,0,15.45,0,0,22.38,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,396.13,20.77,0,0,103.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,51.13,0,24.01,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.96,0,0,0,50.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.9,17.56,6.72,5.08,0,0,0,10.2,3.25,0,0,0,0,0,0,0,18.27,0,0,12.69,233.24,2.76,1.02,1.54,4.13,0,5.73,24.09,1,0,14.5,100.1,0,0,1.18,0,0
 24-34,0,0,0,2.05,5.19,0,31.61,0,0,0,7.91,0,1.4,0,0,0,0,0.7,0.65,29.12,0,0,8.37,369.11,0,2.18,0,0,0,3.79,0,0,1.31,1.3,71.93,0,0,3.37,0,0
 36-46,0,0,0,0.96,3.06,0,73.25,0,0,0,17.99,0,0,0,0,0,0,0,0,16.71,0,0,14.39,299.49,0,0.64,0.74,0,0,7.55,0,0,0,0,85.05,0,0,3.01,0,0
 48-58,0,1.29,0.46,0,5.84,0,116.68,0,0.62,1.17,21.57,0,0,0,0,0,9.51,0.4,0,38.83,0,0,3.17,297.8,0.58,0.89,0.85,0,0,9.48,0,2.97,0,0,44.98,0,0,2.98,0,0
 60-70,0,0,0,0,3.86,0,95.38,0,0,0,17.49,0.72,0,0.84,0,0,0,0,0,26.05,0,0,1.75,191.92,0.65,2.01,0,0,0,5.91,0,0,0,0,23.89,0,0.9,8.01,0,0
 72-82,0,0,0,0,0.58,0,103.87,0,0,2.79,18.44,0,0,0.9,0,0.83,0,2.14,0,32.18,0.92,0,2.54,152.42,0.5,2.59,1.94,0,0,0,0,0,0,0,22.5,0.53,0.78,0.93,0,3.84
 84-94,0,0,1.62,0,5.43,0,49.97,2.24,0.63,0,13.5,0,0,0,2.51,0.76,0,0,0,26.77,0,0.6,0,135.38,2.51,4.84,1.35,0,0,8.56,0,0,0,0,17.61,0,0.59,3.62,1.97,0
 96-106,0,0,0.63,0,4.98,0,39.58,0,0.73,0,22.44,0.66,0,0,2.88,0,0,1.97,0.88,33.22,0,4.98,1.08,132.35,0.66,3.13,3.3,0,2.91,0.8,0,0,0,0,18.28,1.57,2.5,1.34,0,0
108-118,0,0,0,0,7.12,0.95,57.26,0,0,0,20.24,1.75,0,3.11,0.41,0,0.56,0,1.09,41.24,0,0,1.37,213.9,0.81,2.7,6.75,0,0,2.78,0,0,0,0,3.61,1.01,0.5,1.35,0,0
120,0,0,0,0,12.83,0,77.93,0,1.03,4.91,11.06,0,0,0,9,0,1.62,0,0,26.61,0,0,5.73,106.72,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0
