stage,endocrine_pancreas,epidermis,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,2.47,0,3.45,0,0,15.7,0,1.47,3.62,0,0
 24-34,0,0.68,1.99,0,0.76,4.52,0,1.3,23.65,0,0,0,0,0
 36-46,0,0,3.75,4.37,4.1,10.41,0.95,1.62,25.3,0,0,1.6,0,0
 48-58,0,2.02,6.83,5.13,0.88,4.35,3.87,0.96,30.39,0.53,0,1.62,2.12,0
 60-70,0,0,41.68,9.32,0,3.1,7.09,1.66,18.09,1.65,0,4.68,0,0
 72-82,1.38,2.5,84.38,15.94,3.16,4.43,17.58,2.31,29.73,0.84,0,0,1.49,1.78
 84-94,0,3.28,95.94,10.03,1.52,13.96,22.76,0.57,21.77,0,0,0,0,4.73
 96-106,0,0,57.85,12.53,0.95,6.28,20.43,0.9,5.94,0,0,0,0,2.23
108-118,0,1.32,26.18,17.05,0,13.17,17.98,0,8.61,0,0,0.92,0,1.27
120,0,0,65.14,14.08,0,24.17,34.1,0,11.64,0,1.22,0,0,0
