stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,7.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53,0,62.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,6.89,1.94,0,0,0,0,1.85,0,0,0,0,0
 24-34,0,0.69,0,0,6.6,1.4,0,0,0,0,0,0.63,0,0.59,0,0,12.61,29.38,18.98,0,0,2.23,0,3.63,6.55,0,0.77,0,0
 36-46,0,5.93,0,10.61,51.87,0,0,0.99,0,0,0,6.52,0,17.69,0.72,0,4.74,43.69,7.52,0,0,0,0,0.55,6.3,0,0.92,0,2.18
 48-58,0,0,1.15,20.52,12.22,0,0.92,3.41,0,1.26,0,0.4,0,8.91,0,0,14.97,196.52,7.63,0,0,0.4,0,0,6.22,0,1.15,0,0
 60-70,0,1.24,0,97.49,6.18,0,1.23,5.97,0.63,0,0,1.37,0,30.83,0,0,2.09,448.26,9.21,0,2.07,3.36,3.13,0,8.83,0,3.75,0,0
 72-82,0,4.17,0,151.9,3.07,0,0,6.51,0,0,0,0,0,4.35,0,0,0.56,698.36,15.51,0,1.08,2.67,0,0,22.4,3.83,22.45,0,0
 84-94,0,2.77,0.64,140.24,4.15,0.71,0.91,15.95,0,0,0,0.8,0,15.24,0,3.48,0,544.75,22.46,0,0,2.82,0,0,7.6,0,28.97,0,0
 96-106,0,2.01,0,149.48,0.67,0,0,7.69,0,0,1.06,8.95,3.93,9.23,0,2.34,8.11,397.85,23.78,0,0,0.56,0,0,6.76,0,8.51,1.31,0
108-118,0,2.58,1.03,178.07,2.14,0,0,6.81,0,0.42,0,3.28,0,4.31,0.91,0,0.71,429.27,29.72,0,0,1.76,0,0,3.42,0,6.87,0,0
120,0,1.26,1.84,279.94,0,0,3.19,6.14,0,0,0,2.81,0,35.81,0,0,4.71,752.88,37.47,0,0,0,0,0,10.36,0,18.79,0,0
