stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.43,49.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,230.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,105.91,0,0,36.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,14.98,0,0,0,0,0,0,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.83,21.48,1.38,0,1,0,0,2.15,0,0,0,0,0,0,10.75,0,0,0.95,0,1.22,1.16,1.12,0,57.25,0.83,0.93,0,0,0,0
 24-34,0,0,1.61,0.96,7.14,0,0,0,0.94,0,1.24,0,0,0,0,0.71,16.25,0,0,0,0,0,0,0,0,45.02,0,0,0,12,0,0
 36-46,0,0,2.09,0,1.46,0,0,0,0,0,0,0,0,9.1,0,0,10.86,0.8,0.6,0,0,1.67,0.81,0,0,7.46,0,1.98,0,12.19,0.78,0
 48-58,0,0,0.61,0,4.81,0,0,1.94,0,0,0,0,0,44.53,1.64,6.52,9.9,0,7.75,0,1.82,0,0,0,0,4.84,0,0.68,8.48,14.04,0.97,6.47
 60-70,0,0,3.21,0,18.13,1,0,3.62,0.61,0,0,0.93,0,204.86,29.78,17.89,38.14,0,4.07,0.81,94.32,0,0,0,0,6.76,0,2.82,34.23,9.96,2.68,0
 72-82,0,0,2.39,0,25.19,4.05,2.09,8.22,5.74,0,2.75,0,0,312.74,56.67,33.58,45.91,0,9.74,0,158.22,0,0,0,0,1.6,0,8.43,118.77,39.12,18.23,0
 84-94,0,0,0,0,62.86,5.26,0,4.45,3.26,0,1.63,0,0,261.47,43.18,23.53,57.03,0,7.93,0,119.23,0,0,0,0.9,2.77,0,4.01,55.85,11.07,6.01,0
 96-106,0,0,4.62,7.63,47.58,3.45,0,1.82,5.1,0,1.02,0,3.82,331.84,148.79,7.48,51,0,19.05,0,279.6,4.38,0,0,0,4.37,0,1.76,98.37,27.78,7.21,0
108-118,0,0,10.05,0,39.21,2.87,0,16.98,3.73,0,2.43,0.69,0,234.22,129.32,16.22,118.49,0,29.36,0,457.52,0,0,0,0,3.13,0,0,73.34,17.08,25.46,0
120,0,0,4.7,0,11.78,0,0,20.25,0,0,0,0,0,336.79,89.39,45.88,86,0,41.88,10.96,353.65,0,0,0,0,1.64,0,0,100.75,11.54,15.1,0
