stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,23.91,193.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0
  5-6,19.19,275.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,8.51,0,0,0,0,0
  7-9,13.67,4.83,0,0,0,0,9.62,0,0,0,0,4.16,0,0,0,0,0,0,155.2,0,0,28.87,0,0,11.89,0,0,0,0
 10-12,0,9.48,0,32.52,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,141.59,24.97,0,91.63,0,7.35,9.77,0,0,0,0
 14-21,0,0,1.11,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.82,3.13,11.35,0,0,0,0,0,0,1.07,0.88,0.93,0
 24-34,0,0,0,0,2.84,0,2.1,0,0,0,0,0,0,0,0,0,1.56,0.7,13.03,0.87,0,0,0,0.72,0,0,3.17,4.32,0.93
 36-46,0,0,0,0,0,0,5.26,0,0,0.72,0,0,0,0,0,0,3.91,0,11.05,0,0,0,0,0,0,0,0,6.45,1.47
 48-58,0,0,0,0,0,0,11.61,0,0.65,1.07,0,0,0,0.45,0,0,4.62,0.39,6.69,0,0,0,0,0,0,0,0,3.27,0
 60-70,0,0,0,0,0,0,1.97,1.04,0,0,0,0,0,0.7,0,0,3.72,0,7.38,0,0.58,0,0,0.58,0,0,0,0,0
 72-82,0,0,0.69,0,2.24,0,1.4,0,0.59,0.73,1.26,0,1.33,0,0,7.54,2.98,1.43,15.17,0.88,0,0,2.35,0.61,0,0,0,1.36,1.99
 84-94,0,0,0,0,0,0,4.55,0,0,4.17,0,0,0.65,0,0,0,4.54,0.77,19.37,0,0,0,0,3.91,0,0,0,0,0.81
 96-106,0,0,0,0,0,1.89,11.84,0,0,4.77,0,0,0.84,0,0.59,0,4.18,0,9.17,0,0,0,0,0,0,0,0,0.67,0
108-118,0,0,0,0,0.94,0.72,3.42,0,0,6.64,0,0,0.63,0,0,0,3.73,0,23.42,0,0,0,0,0.57,0,0,0,2.35,0.62
120,0,0,0,0,18.88,0,14.65,0,0,5.05,0,0,0,0,0,0,5.82,0,2.58,0,0,0,0,3.01,0,0,0,12.69,0
