stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,181.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
 14-21,0,0,8.37,104.86,0,2.04,0,0,0,1.31,0.85,0,91.37,0,0,0,0,0,3.44,0,0,0.88,18.3,0,0,0,0,0,0,0,0,0,1.06,2.24,0,0,54.24,0,0
 24-34,0,0.66,9.15,18.02,0,2.97,1.25,0,0.97,4.74,0,0,224.91,0.72,0,0,2.31,1.33,17.11,0,0,9.84,95.01,0,2.03,0.76,0,0,5.74,0,0,0,1.56,25.18,0,0,200.31,0,2.02
 36-46,0,0,2.28,1.88,0,17.36,6.31,0,0.82,10.66,0,3.89,427.41,0.83,0.86,0,0,0,27.8,0,0,5.68,107.42,0,0,0,0,2.1,4.34,0.73,0.7,0,0,12.58,0,0,80.86,0,0
 48-58,0,0,0.41,1.9,0,32.66,0,0,0.5,30.96,0,2.4,480.35,0,0,0,0,0,20.26,0,1.07,1.49,99.63,0,0.86,0.59,0,0,0.39,0,0,0.4,0,26.26,0,0,36.68,0,2.34
 60-70,0,0,1.13,2.99,0,15.13,0.66,0,0.81,10.44,0,0,454.51,2.85,0,0,7.32,0,27.44,0,0,1.71,30.62,0,0,0,0,0,0.59,0,0,0,0,7.32,0,0,8.99,0,0
 72-82,0,0,1.36,13.35,0,35.39,10.12,0,0.77,11.81,0,0.75,737.86,0,0.57,0,0,0,30.37,0,0,0.83,81.99,0,1.41,0,0,0,0,0,0,0,0,5.41,0,0,9.82,1.37,7.69
 84-94,0,3.98,0.75,5.66,0,53.59,0,0,0,9.49,2.08,1.8,910.93,2.61,1.27,0,32.01,0,41.93,0,8.98,0,62.54,0,1.53,0.72,0,0,3.86,0,0,0,0,14.05,1.27,0,15.74,0,0
 96-106,0,0,6.73,86.49,0,42,1.95,0,0,17.16,0.9,0,1250.92,5.65,0,3.06,0,0,52.16,2.95,7.33,1.67,104.49,0,2.57,0,0,0,2.8,0,0,0,0,3.25,2.03,0,23.83,2.16,1.22
108-118,0,0,2.53,24.94,0.72,49.55,2.48,0,0,19.66,4.34,0,1148.75,0,2.68,0,4.96,0,27.18,0,1.16,1.17,79.13,0,0.66,0,0,2.7,1.96,0,1.04,0,0,1.77,0,0,29.76,0,4.27
120,0,0,5.54,45.27,0,18.78,0,3.98,0,0,0,0,1456.28,0,0,1.15,0,0,17.81,0,7.09,9.59,148.49,2.47,0,0,0,0,3.85,0,1.73,0,0,12,0,2.93,16.01,0,0
