stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,723.68,24742.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.22,0,0,0,0,0,0,0
  5-6,761.12,29173.34,57.32,0,0,0,0,0,16.05,0,0,0,0,0,0,0,0,0,1493.01,9.37,0,0,361.92,359.76,0,0,0,0,0,0,0
  7-9,46.23,372.47,878.36,0,14.9,406.21,0,0,224.79,0,0,0,0,0,0,0,0,0,13938.25,30.36,0,0,4472.44,15.19,3.47,0,0,0,0,0,0
 10-12,0,20.32,274.39,0,42.67,119.8,0,0,24.52,0,0,0,0,0,0,0,0,0,6476.04,10.94,0,0,986.6,9.04,16.79,66.33,0,0,0,0,0
 14-21,0,0,0,303.68,2.98,6.95,0,0,0,1.15,0,0,0,0,0,4.91,0,1.03,13.62,0,0,0,5.94,0.85,0,4.8,5.67,21.5,0,0,0
 24-34,0.88,0,0,24.81,0,12.44,1.09,0,0,0,0,0,0,0.61,0,3.01,0,0.63,15.85,0,0.94,0.63,0,0,0,0,0,11.53,0,0,0
 36-46,0,0,0,6.69,0,6.37,0.86,0,0,0,0,0,0,0,0,3.61,0,0,11.74,0,0,1.93,0,0,0,0,0,25.59,1.99,0,0
 48-58,0,0,0,8.34,0,9.97,2.38,0,0,0,0,0,0,0,0.59,2.48,0.97,0,16.54,0,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,23.54,0,0,0,0,0,0.62,0,0,4.65,4.19,4.28,0.67,14.2,0,0,0,0,0,0,0,0,1.59,0,0,0
 72-82,0,0,0,4.98,0,5.33,0,0,0,0,0,0,0,4.55,0,11.91,1.86,0,4.29,0,0,0,0,0.9,0,0,0,0,0,0,3.38
 84-94,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,2.53,20.07,1.92,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,0,10.38,0,0,0,0,0,0,0,0,0,6.92,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.46,0,2.16,1.08,0,0,0,0,0,0.75,1.48,0.7,5.33,3.82,0.92,1.85,0,0,0,0,0,0,0,0,0,1.25,0.7,0.43
120,0,0,0,0,0,23.59,5.46,2.52,0,0,2.34,0,0,0,2.96,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
