stage,blastomeres,eye,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,11.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,3.43,0,0,5.66,0,0,0
 10-12,0,5.86,3.16,0,0,11.77,0,0,4.98,0,0,0
 14-21,0,0,0,0,0.9,0.87,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.88,1.57,0
 36-46,0,1,0,0,0,5.04,0,0,0,0,0.68,0
 48-58,0,5.83,0,0,0,6.39,0,0,0,0,0,0
 60-70,0,3.11,0,0,0,1.86,0,0,0,0.64,0,0
 72-82,0,4.25,0,0,0,2.18,0.67,0.5,0,0,0,0
 84-94,0,0,0,0.81,0,0,0,0,0,0,6.17,0
 96-106,0,0,0,0,0,2.84,0,1.53,0,1.95,0,2.45
108-118,0,0,0,0,0,0.88,0,0,0,0,0,0
