stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.31,642.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,589.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,23.16,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.24,35.48,0,8.34,0,0,0,44.25,0,0,0,0,24.15,0,0,0,0,0,0,0,0,0,0,0,531.16,14.35,0,0,140.18,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,37.8,0,35.91,0,0,0,36.16,0,0,0,0,16.96,0,0,0,0,0,0,0,0,0,0,0,410.22,16,0,0,139.54,0,0,5.47,5.62,12.02,0,0,0,0,0,0,0
 14-21,0,0,0,1.73,7.27,1.91,0,3.48,0,0,1.09,0,0,0,0,1.16,0,0,0,0,3.15,0,0,2.76,35.88,0.9,0,1.04,4.1,0,2.46,0,5.75,1.91,8.65,26.49,0,0,1.23,0,0
 24-34,0,0,0,0,5.16,0,0,6.99,1.53,0,5.93,1.69,0,0,0,0,0,0.63,0,0,15.67,0,0,5.27,143.24,4.4,2.65,3.87,0,0,4.94,0,0,0,1.22,30.37,0,0,8.53,0,0
 36-46,0,0,0,0.63,1.1,0,0,32.18,0.76,0.82,6.65,0,0,1.34,0,0,0,0,0,0,17.26,0,0,2.3,169.69,1.28,1.31,1.32,0,0,0,0,0,2.71,0,40.32,0,0,0.78,0,0
 48-58,0,0,0,0,0.77,0,0,43.87,0,0,17.11,0,0,0,0,0,0.72,0.5,0,0,24.03,0,0.4,3.99,151.13,0,0,0,0,0,2.97,0,0,0,0,21.04,0,0,0.39,0,0
 60-70,0,0,0.89,0,0.82,0,0,100.44,0.97,1.13,18.29,0,0,0,0,0,0,0.77,4.49,0,17.42,0,0,9.81,219.54,0,1.98,0.71,0,0,2.54,0,0,0,0,25.87,0,0,0,0,0
 72-82,0,0,0,0,1.66,17.27,0,30.14,0,1.33,7.21,0.66,0,0,0,0,0,0,0,0,24.28,0,0,1.23,91.49,0,0,1.66,0,0,10.67,0,0,0,0,8.73,0,0.81,0,0.91,1.6
 84-94,0,0,0,0,4.85,2.28,2.96,34.2,0,13.6,7.39,1.36,0,0,1.11,0,0,0,0,0,12.05,0.62,0,5.44,67.48,0,0,0,0,0,2.16,0,0,0,0,8.14,0,0,0.83,0,9.96
 96-106,0,0,0,0,1.97,10.91,0,17.32,0,0,3.78,0,0,0,0,0.58,0,1,0,0,19.77,0,2.5,0,49.49,0,2.9,0.57,0,0,2.2,0,0,0.89,0,0.99,0,0.69,2.6,0,0
108-118,0,0,0,0,2.81,0,0,39.57,1.14,0,10.19,1.93,0,0,1.17,0,0,0.56,0,0.58,18.18,0,1.62,2.23,67.24,0,1.52,0,0,0,0,0,0,0,0,12.19,0.43,0.9,3.79,0,1.09
120,0,0,0,0,2.08,1.49,0,69.25,1.25,3.29,13.26,1.79,0,0,12.06,0,0,0,0,0,25.82,0,0,3.59,147.56,0,0,0,0,17.18,1.24,0,0,0,0,23.67,0,0,11.05,1.59,0
