stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  3-4,33.21,1400.68,0,0,0,0,0,0,0,0,0,0,0,0,83.66,0,0,0,0,0
  5-6,90.32,1158.76,0,0,0,0,0,0,22.09,0,0,57.2,0,0,21.8,0,0,0,0,0
  7-9,0,18.91,0,0,0,22,0,0,18.22,0,0,210.91,0,54.5,0,5.11,0,0,0,0
 10-12,0,0,0,0,0,8.85,0,0,0,0,0,24.03,3.15,49.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.04,0,1.1,1.89,0,0,0,1.28,3.24,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,3.87,0,0.98,0,0,0,0,6.48,0.6,0,0
 36-46,0,0,0,0.91,0,0,0,0,0,3.01,0,0.87,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.41,0,0,0,0,0.52,0,0,0,0,0,0,0,1.23,0,1.67
 60-70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.48,1.62,0,0.53,0,0,0,0,0,0,0,0,0,0,0.6,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.67,4.44,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.8,0,0,1.8,0,1.55,0,0,0,0,0,0.67,29.44,0
108-118,0,0,0,0,0,0,0,0,0,1.07,1.01,0,0,0,0.45,0,0,0,14.14,0
120,0,0,0,0,0,0,0,0,0,1.42,0,0,3.96,0,0,0,0,0,130.87,0
