stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.86,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,44.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.2,4.21,0,0,0,26.44,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,0,0,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.44,0,0,144.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,122.44,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,0,0,4.52,0,0,3698.01,0,0.86,1.3,1.26,0,0,0,0,0.77,1.57,0,0,0,14.42,0,1.52,13.74,219.58,7.71,1.12,1.46,0,30.97,0,0.66,37.58,0,0,2.59,0,0.93
 36-46,8.46,0,0,4.32,0,0,6802.02,0.68,0.74,0.97,6.77,0,0,0,1.3,0,0,0.61,2.85,9.1,17.14,0,0,6.78,280.87,2.07,3.28,0,0.97,27.41,0,0,48.55,0,0,8.42,0,13.24
 48-58,0,0,0,9.15,0.45,0,5216.72,1.96,0,1.03,10.57,0,0,0.87,0,5.82,0,0,3.29,1.59,30.73,3.08,1.43,6.69,208.87,0,0,0,0,7.01,0,0,33.37,0,0,6.86,0,9.46
 60-70,0,0,0,0.88,0,0,6277.78,0,6.47,3.36,19.66,0,0,0,6.44,0,0,0,0,0,25.1,0,0.63,7.97,193.32,8.9,0,7.68,0,18.38,0,0,29.06,0,0,0.79,1.13,13.26
 72-82,0,0,0,10.48,9.71,0,5133.66,0,2.68,3.85,10.67,0.63,0,0,2.98,5.3,2.92,1.07,0,1.89,29.36,1.31,0,2.37,138.58,7.76,0,1.44,0,9.33,1.65,0,15.96,0,0,2.42,0.57,11.52
 84-94,0,0,0,6.23,10.11,0,5000.91,0,0,0,17.16,2.45,0,0,3.69,1.12,0,0,0,0,27.59,0,0,2.67,101.91,0,0,1,0,6.73,0,0,8,0,2,0.57,0,0
 96-106,0,0,0,4.84,0,13.54,2890.3,0,0.86,0,1.31,0,0,1.61,0,0,0,0,10.63,0,16.65,3.89,0,1.34,85.18,2.22,1.76,0,0,8.03,0,0,5.77,0,0,0.61,0,2.56
108-118,0,0,0,3.04,2.96,3.08,5123.82,0,2.2,2.53,10.73,2.87,0,0,2.04,1.87,2.38,1.5,0,0,44.07,5,0,1.78,71.8,1.29,2.19,0,1.91,11.88,0,0,0.96,1.08,3.8,1.86,2.61,11.36
120,0,0,0,10.81,0,1.14,5563.63,0,2.34,5.31,39.56,0,0,0,13.05,0,0,3.2,3.7,0,53.36,0,0,2.4,167.03,6.74,0,10.4,0,12.04,0,0,0,0,0,0,0,0
