stage,epidermis,eye,fin_mesenchyme,mesenchyme,neural
  5-6,0,0,0,0,14.01
 14-21,0,0,0,0,5.83
 36-46,0,0,0,0,2.04
 48-58,0,0,0,0.38,0.43
 72-82,0,0,0,1.23,0
 96-106,0,3.54,0,0,0
108-118,0.45,0,0.59,0,0
120,0,0,0,0,4.31
