stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,0,1.88,0,0.88,0,0,2.89,0,0,1.01,2.96,0
 24-34,0,0.78,1.51,2.51,0.85,1.93,8.17,0,0,0,5.77,0
 36-46,0,0,0,5.32,0,0,5.05,0,0,0,1.97,0
 48-58,0,0,9.75,0,0.88,0,8.3,0,0,0,0,0
 60-70,0,0,0.95,1.47,0,0,0.86,0,0,0,0,0
 72-82,0,0,0.52,1.02,2.59,0.66,1.94,0.7,0,0,0,0.89
 84-94,1.16,0,0.84,2.78,1.62,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.59,0,0,0,0,0,0,0
108-118,0,0,0.84,0,1.15,0,1.72,0,0,0,0,0
120,0,0,0,0,0,0,22.98,8.07,1.62,0,4.48,0
