stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mucous,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,811.79,0,0,0,0,0,0,0,0,0,86.63,0
  5-6,15.56,667.13,0,0,0,0,0,0,0,0,0,7.36,0
  7-9,5.09,5.92,8.03,0,14.45,0,0,8.57,0,232.45,5.33,0,0
 10-12,0,6.56,0,0,4.66,0,0,0,0,57.5,0,4.33,0
 24-34,0,0,0,0,0.86,0,0,0,0,3,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.78,2.05,0,0,5.07
 48-58,0,0,0,0,1.11,2.42,0,0,0,1.75,0,0,0
 60-70,0,0,0,0,0.95,1.87,0,0,0,0.68,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,4.2,0,0,0
 84-94,0,0,0,0.57,0,0,1.16,0,0,0,0,0,0
 96-106,0,0,0,0.67,15.61,0,0,0,0,0,0,0,0
108-118,0,0,0,1.51,0.81,0,0,0,0,0,0,0,0
