stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1.04,14.64,0,0,0,0,0,0.84,1,4.32,0,0
 24-34,0,0,5.91,0,5.32,0,0,7.39,0,0,0,0,0,0,0,2.91,0,0,0.81,28.12,0,0.97,0,0,0.97,0,0,10.04,0,0
 36-46,0,0,0,0,1.71,0,0,0,0,1.26,0.92,0,0,0,0.61,2.64,0,0,0,78.88,0,2.32,0,0,0.58,0,0,12.21,0,0
 48-58,0,0,1.46,0,9.84,0,0,7.6,0,0,0,0,0.41,0,0,5.16,0,0,0.38,121.61,0,0.95,0,0,1,0,0,12.88,0,0
 60-70,0,0,0,0,29.46,0,0,0.77,0,0,0,0,0,0,0,0.95,0,0,0,213.34,0,0.73,0,0,0.83,0,0,15.64,0,0
 72-82,0,0.86,0,0,30.47,0,2.16,28.95,0,0,0,0.83,0.64,0,0,5.54,0,0,0.8,411.78,0,1.08,1.06,2.01,0,0,0,14.41,0,0
 84-94,0,0,1.18,0.92,47.62,0,0,9.72,0,0,0,0,0,0,0,19.72,0,0,0,271.84,0,0,0,0,0.89,0,0,12.89,0,2.23
 96-106,0,0,10.68,2.83,45.36,0,1.28,0,0,0,0,0.83,3.46,0.62,0,10.44,0,0,1.95,289.53,0.62,1.03,0,0,18.37,0,0,16.05,0,4.24
108-118,0,1.03,3.92,1.5,56.26,0.59,0,8.16,1.16,0,0,0,0,0,0,4.53,0.54,0.49,0,347.37,0,7.62,1.28,0,0,0,0,8.34,0.7,0
120,0,0,0,1.23,63.18,2.55,0,9.72,2.35,0,0,7.03,0,0,0,3.07,0,0,3.96,817.88,0,4.09,0,0,1.34,0,0,14.31,0,0
