stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,7.69,0,0,0,0,0,0,0,0,0,0,54.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,21.42,0,14.04,0,0,8.5,0,0,0,0,0,0,0,0,0,0,413.79,0,0,0,77.01,0,0,0,21.77,0,0,0
 14-21,0,0,0,5.03,2.83,2.82,0,0,267.59,5.27,0,0,0,0,0,0,522.65,0,0,0,0,1.86,0.96,3.05,1738.34,0,0,0
 24-34,0,0.75,0,1.8,0,0.84,0,0,258.03,0,0,0,0,0.84,0,1.24,290.54,0,0,0,0,2.61,0,1.3,1046.3,0,1.6,0
 36-46,0,0,0,0,0,4.46,0,0.75,172.68,0,0,0,0,4.42,0,0,160.59,0,2.61,0,0,0.98,0,0,516.09,0,0.76,0
 48-58,0,0,0,0,0,17.61,0,0,171.11,0,0,0,0,6.97,0,0.73,99.89,0,0.8,0,0,0,0,0,513.88,0,0,0
 60-70,0,0,0,0,0,21.01,0,0,246.6,0,0,2.38,0,7.08,0,0,52.72,1.57,3.56,1.23,0,0.9,0,0,324.1,0,0.87,0
 72-82,0,0,0,0.88,0,29.05,0,0,441.85,0.81,0.69,0,0,1.92,0,1.23,52.75,0,7.86,0,0,0,0,0,329.06,0,0,0
 84-94,0,0,0,0,0,20.39,0,0,469.81,0,0,2.24,0,4.38,0,0.65,33.71,0,2.29,0,0,0,0,0,270.19,0,0,0
 96-106,0,0,0,4.18,2.83,11.71,0.98,0,459.61,0,0,1.3,0.86,9.38,0,1.28,33.73,0,2.07,0,0,0,0,0,375.55,0,0,2.56
108-118,0,0,0,3.94,0,16.86,0,0,545.45,4.72,0,0,0,5,1.9,2.51,20.49,0,0.64,0,0,0,0,0,192.42,0.54,0,0
120,0,0,0,7.31,0,15.32,1.51,0,646.25,2.59,1.01,0,0,13.02,0,0,78.43,0,0,0,0,0,0,0,227.37,0,0,0
