stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,30.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12,4.57,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.59,4.25,0,0,6.37,0,0,0,0,0,0,0,0
 10-12,0,16.41,0,0,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,62.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,1.02,0,0.96,0,0,1.36,7.19,0,0,0,0
 24-34,0,0,1.39,0,6.6,0,0,0.74,1.65,0.61,2.16,0,0,0,0.84,4.45,0,0,1.96,123.25,0,1.12,0,0,0,0,1.35,16.7,0,0,1.12,0
 36-46,0,0,5.88,0,22.68,0.58,0,0,2.9,0,0,0,0,0,0,9.34,0,0,0.82,255.16,0,1.38,0,0,0,2.32,0,39.06,0,0,0,0
 48-58,0,0,0,0,36.54,1.79,0.82,0,21.07,0,0.63,0,0,0,0,10.47,0.41,0,6.49,295.91,0,1.05,0.51,0,0.45,0,0,50.87,0,0,0,0
 60-70,0,0,2.04,0,131.15,0,1.84,1.53,10.57,0,1.76,0,0,0,0,21.26,0,0.66,0,271.86,0,1.57,0,0,0,2.39,0,40.55,0,1.27,0,0
 72-82,0,0,1.36,7.74,95.85,0,0,0,3.64,0,0,0,0,1.2,0,15.09,0,1.83,1.25,237,0,0.6,2.07,0,0,2.29,0,13.86,0,0.93,0,0.57
 84-94,0,0,0,0,45.28,0.75,0.81,0,32.76,0,0,0,0.76,0,0,12.39,0,0,3.54,142.12,0,3.65,1.78,0,0,1.53,0,24.84,0,0,0,0
 96-106,0,0,0.6,0,67.21,0,0,0,11.76,0,0,2.75,0,0,0,28.98,0,0,4.44,155.41,0,3.83,0,0,0,4.19,0,2.95,0.81,0.9,4.69,0.59
108-118,0,0,2.31,0,39.64,0,0.43,0,2.75,0,0,0.47,0,0,0,16.3,0,0,3.28,130.3,0,1.82,1.51,0,0,0,0,2.79,0,0.99,1.12,0
120,0,0,2.65,1.32,57.21,0,0,0,19.65,6.22,0,0,0,0,0,17.86,0,3.51,4.96,296.09,0,12.75,0,0,0,1.32,0,0,0,0,4.54,0
