stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.34,333.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.67,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.1,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.52,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.2,7.2,0,0,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.34,24.26,0,0,98.91,0,0,4.8,0,4.78,0,0,0,0,0,0,0,0
 14-21,0,0,2.35,42.68,9.25,0,32.31,0,2.34,0,3.53,0,0,0,0,0,0,0,0.94,22.16,0,0,25.28,205.21,7.78,0,3.64,0,0,24.58,0.91,10.2,1.96,1.77,32.23,55.42,0,0,5.2,0,1.98
 24-34,0.88,0,5.11,60.86,1.34,0,62.03,0,3.48,1.06,19.78,0,5.55,0,2.4,0,3.3,4.03,1.52,117.38,0.77,0.81,56.96,435.61,8.86,3.79,13.05,0,0,100.39,0,0,6.53,4.89,5.66,122.08,0,0,39.77,0,2.82
 36-46,0,0,0,50.27,0,0,100.49,6.5,10.92,6.22,40.27,0.57,1.39,0,0,1.36,3.65,1.24,4.85,134.27,5.89,1.83,39.49,231.16,22.95,1.28,2.91,0,0,68.25,0,0,0,9.65,1.74,61.83,0,0.62,14.77,0,9.07
 48-58,0,0,0.86,48.16,0,0,169.96,2.28,6.18,12.34,69.35,0,5.95,2.91,0,1.24,5.19,2.16,1.83,201.73,1.76,4.04,48.99,155.88,30.26,0.48,4.28,0,0,60.68,0,0,2.01,6.73,0,75.51,0,0,15.11,0,21.57
 60-70,0,0,0,21.94,2.5,0,97.65,2.98,7.97,13.37,167.99,1.99,4.74,0,5.18,0,2.25,0,1.14,195.15,0,1.74,15.72,80.35,12.42,0,2.08,0,2.16,34.47,0,0,3.11,5.81,0,15.87,0,4.26,9.46,4.69,18.96
 72-82,0,0,0,30.68,0.88,0,103.58,0.75,13.06,21.13,214.38,8.26,4.86,1.18,3.42,0,20.58,6.12,3.31,416.42,0,7.73,37.77,96.91,15.46,0,20.14,0,0.71,41.12,0,0,5.71,0,0,28,1.36,10.89,38.18,7.34,24.04
 84-94,0,0,0,112.41,3.82,0,123.72,2.89,16.79,18.77,234.24,11.73,3.51,4.23,4.59,2.59,10.12,5.77,6.79,405.46,0.55,18.69,34.29,75.37,13.74,2.01,31.36,0,9.61,174.65,1.4,0,8.26,0.85,0,21.56,0.83,4.68,35.06,10.05,22.2
 96-106,0,0,0,68.2,13.38,0,124.74,0,21.92,15.35,345.07,6,9.98,4.93,4.49,3.61,4.52,15.34,1.36,428.89,3.5,6.21,32.7,99.75,11.73,1.67,16.93,0,10.2,66.74,0,0,7.54,1.9,0,47.39,0,10.37,55.21,5.59,22.22
108-118,0,0,0,114.84,4.69,10.91,128.9,2.53,34.56,17.45,341.66,14.97,3.02,3.74,6.19,10.51,10.18,18.85,11.86,493.25,0.63,2.79,45.53,134.18,24.7,2.57,22.2,0,8.61,88.09,0,0,4.41,2.57,0,20.39,2.8,1.19,53.33,13.75,41.06
120,2.82,0,0,52.32,1.53,0,66.23,2.34,17.04,32.52,215.48,2.38,5.64,2.27,0,0,0,7.43,0,252.1,1.49,11.56,24.68,68.57,16.26,0,17.1,0,0,45.27,0,0,1.21,0,0,7.78,0,0,15.51,6.68,12.89
