stage,eye,fin.epithelia,glial,neural,spinal.cord
 10-12,0,0,0,9.27,0
 24-34,0,0,0,1.07,0
 36-46,2.26,0,0,5.16,0
 48-58,2.05,0,0,4.54,2.67
 60-70,6.24,0,0,23.79,3.34
 72-82,5.03,0,0,12.7,1.63
 84-94,7.13,9.46,0,0.75,0
108-118,4.3,0,0,4.04,4.05
120,0,0,3.68,3,0
