stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,88.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,1976.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.06,0,0,0,18.23,0,420.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.27,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.18,27.29,0,0,72.59,0,234.11,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.32,0,0,11.1,0,1.19,0,0,0,0,0,5.75,6.7,0,0,43.58,1.56,4.35,0,0.87,70.99,2.74,0,0,0,0,1155.88,0.97,0,0,2.16,15.94,0,0,0,0,12.07
 24-34,0,0,0,13.72,0,0,16.31,0,5.68,0,0,0.63,2.21,1.72,39.77,5.48,0.68,5.93,95.15,5.67,18.82,0,5.14,164.04,10.61,4.63,1.33,0,0,2233.29,0,3.9,6.89,0,19.47,0,0,1.82,0,146.67
 36-46,0,0,0,35.64,0,0,8.68,0,26.76,0,0,0,2.19,0,65.93,8.93,0,7.21,33.94,8.2,53.19,0,1.81,93.25,1.86,1.15,0,0,0,3302.17,0.9,0,0,0,19,0,0,0,0,290.55
 48-58,0,0,0,29.91,0,0,37.3,0,20.5,2.97,7.24,0.44,0,3.09,12.99,5.05,0.41,0,31.13,13.51,20.21,0,3.08,78.74,0,0,0,0,0,2439.38,0,0,0,0,18.32,0,0,4.23,0,369.09
 60-70,0,0,0,18.62,0.7,0,20.59,0,33.12,0,0.63,0,0,0,9.2,5.71,0,0,13.11,8.64,39.14,0,0,32.74,0,0,0,0,0,2408.41,0,0,0,0,26.73,0.61,0,0,0,161.06
 72-82,0,0,0,37.73,0,0,47.81,0,20.87,0,3.17,1.21,0,0,8.92,19.95,0,0,7.77,14.68,26.25,0,0,31.68,0,0,1.65,0,0,1386.44,0,0.64,0,0,3.86,3.48,0,1.15,4.06,223.55
 84-94,0,0,0,71.33,4.95,0,19.07,0,49.18,0,5.47,1.49,0,2.42,28.59,6.91,0,0.68,16.78,9.73,41.67,0,2.13,48.08,0,0.81,0,0,0,3098.48,0,0,0,0,4.59,3.86,1.27,0,0,63
 96-106,0,0,0,85.82,3.11,0,39.13,0,48.6,0,9.24,10.23,0,5.86,25.46,0,3,6.4,2.04,26.17,38.85,0,0,63.88,0,1.38,0.77,0,0,2584.16,0,0.69,0,0,6.44,2.96,0,1.59,0.91,118.97
108-118,0,0,0,112.28,3.07,5.71,39.04,0,68.4,0.77,14.33,20.19,0,1.6,35.32,3.55,0.56,9.86,4.89,13.41,54.47,0,0,72.12,0,1.44,1.49,0,1.55,2509.98,0,1.65,0,0,0,8.33,0,3.6,2.62,154.38
120,0,0,0,180.94,3.02,0,4.59,1.18,54.58,0,19.94,6.47,0,0,26.37,5.79,6.94,11.14,1.67,0,75.23,25.31,1.86,76.51,0,7.24,0,0,0,1487.95,0,0,0,0,0,1.27,0,0,0,41.67
