stage,eye,mesenchyme,muscle,neural,spinal_cord
 14-21,1.25,0,0,6.03,0.9
 24-34,0,0,0,3.79,4.35
 36-46,0,0,0,0,0.84
 48-58,0.82,0.72,0.55,0,0
