stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mural.cell,neural,otic,periderm,somites,spinal.cord,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,13.52,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,2.36,1.32,0.93,0,0.81,0,0
 36-46,0,0,0.79,0,0,0,0,0,12.69,8.42,0,0,0.92,0,0
 48-58,0,0,0,0,0,0,0,0,1.19,7.48,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,3.94,8.54,0,0,0,0,0
 72-82,0,0,0,0.6,0,0,0,0,1.79,29.06,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,1.31
 96-106,0,0,4.82,0,0,3.76,0,0,8.29,44.32,0,0,0,0,0
108-118,0,0,0,0,0.84,0,2.61,5.62,5.66,40.41,0.63,0,0,0.68,0
120,0,15.76,0,0,0,2.11,0,0,0,55.01,0,0,0,0,0
