stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,24.7,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,7.69,3.16,0,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.35,40.98,77.17,4.16,0,8.32,0,1.19,0,0.84,1.81,1.02,0,0,0,0,0,0,14.64,0,0,24.53,37.38,1.73,0,0,0,74.39,0,15.78,29.54,0,60.48,4.63,0,0,0,0,0
 24-34,0,19.76,17.57,154.55,0,0,2.85,0,8.88,0.9,1,6.25,0,0,0,7.47,0,0.6,5.57,46.49,3.59,0,41.52,45.53,1.26,2.03,0,0,210.47,0,0,31.93,0,16.94,10.67,0,0,0.76,0,0
 36-46,0,7.82,4.82,151.79,0,0,9.8,0,13.34,9.75,1.42,4.97,3.53,0,0,2.86,0,0,1.5,55.89,8.6,0.8,27.12,77.44,18.34,4.91,0.57,0,250,0,0,38.93,0,1.34,8.09,0,0,7.43,0,0
 48-58,0,5.19,0,208.64,0.67,0,26.87,0,34.25,6.93,5.91,5.44,25.85,0,3.44,0.95,3.8,0,18.63,70.03,5.78,0,7.09,125.61,0.58,5.59,0,0,284.47,0.65,0,75.33,7.66,0,17.37,0,0,0.75,0,4.75
 60-70,0,2.29,0,232.79,0,0,15.03,1.65,66,9.65,19.57,0.68,8.19,0,0,1.18,5.14,3.43,4.88,114.23,3.85,0,11.63,64.1,0,9.44,0,0,275.26,0,0,80.4,0,0,2.67,0,0,0.69,0,0
 72-82,0,4.61,0,168.51,11.48,2.77,33.77,2.35,65.57,12.89,22.56,0.58,7.77,0,1.36,1.85,0.72,1.76,3.55,164.8,12.28,0,5.75,117.6,0.88,14.65,0,0,385.29,0,0,115.25,3.69,0,8.23,0.68,0,2.71,0,0
 84-94,0,0.73,0,308.23,2.96,12.32,44.68,0.8,123.35,16.12,13.83,1.98,20.62,0,0.78,3.12,0,0.73,1.67,113.95,6.53,0,9.48,79.35,0,29.09,0.92,0,828.34,0,0,224.53,4.67,0,0,1.19,2.84,6.3,0,0
 96-106,0,1.6,0,309.83,3.94,21.2,29.33,12.18,141.05,3.23,25.52,3.29,0,1.57,3.01,8.03,0,1.51,15.34,152.3,8.75,0,4.94,108.55,6.5,66.46,0,0,901.91,0,0,147.37,20.9,0,5.43,9.2,5.01,2.55,0,5.1
108-118,0,4.35,0,286.2,10.85,75.01,20.69,3.65,146.99,8.58,36.39,4.99,0,0.89,1.58,4.29,0,2.28,3.39,143.09,27.49,0.69,4.34,76.74,0,44.94,0,0,701.82,0,0,102.42,9.81,0,0.69,4.62,0,3.42,1.97,2.28
120,0,0,0,150.43,0,7.41,31.06,0,57.31,8.8,30.93,11.08,5.2,0,1.88,1.06,0,3.15,3.84,186.17,3.75,0,0,85.18,0,45.29,0,0,407.91,0,0,45.82,4.22,0,0,5.98,0,5.84,0,0
