stage,axial,blastomeres,endoderm,hatching.gland,neural,paraxial.mesoderm,periderm,pronephros
  3-4,9.78,548.14,0,0,0,0,0,0
  5-6,25.49,199.23,0,0,0,0,17.83,0
  7-9,0,0,5.14,0,4.07,3.8,0,0
 10-12,0,0,43.18,3.05,194.19,71.76,0,8.87
