stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,19.15,0,0,0,0,0,0,0,0,0,0
  5-6,6.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.93,0,0,0
 10-12,0,0,0,0,0,0,0,17.15,3.77,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0
 24-34,0,0,0.68,0,0,0,1.07,2.27,0,0,1.14
 36-46,0,0,0,0,0.88,0,0,0.8,0,0,0
 48-58,0,0,0,10.23,0,0,0,0,0,0.7,0.4
 60-70,0,0,2.62,0,0,0,1.47,1.11,0,0,0
 72-82,0,0,1.63,0,0,1.8,0,0,0,0,0
 84-94,0,0.79,0.57,0,0,0.63,0,0,0,0,0
 96-106,0,0,0,0,0,6.22,1.5,0,0,0,0
108-118,0,0,0,0,0,6.2,0,0,0,0,0
