stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,3.77,9.73,4.9,0,0.89,0,0,0,0,0,0,0,1.16,0,1.04,0,0,0,14.4,0,0,1.56,0.9,6.06,1.27,1.94,4.46,0,0
 24-34,0,0.59,0,0,0,0.61,0,0,0,0,0,2.19,0,0,0,0.67,0,0,0.65,10.87,0,0,1.77,0,0,0,0,3.15,0.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,17.21,0.67,0,2.07,0,0,0,0,0.69,0,0
 48-58,0,0,0,0,0,1.93,0,0,3.71,0,0.55,10.77,0,4.75,0,1.46,0,0,0,10.78,0,0,2.58,0,0,0,0,2.67,2.29,1.9
 60-70,0,0,0,0,0,0,0,0,0.81,0,0,5.24,0,3.39,0,0.62,0,0.65,0,11.11,0,0.63,0,0,0,1.47,0,0.99,0,0
 72-82,0.98,1.89,1.18,0,0,1.63,1.51,0,1.87,10.79,0,8.49,1.52,24.7,0,3.16,0,0,0,16.11,0,0,2.46,0,0,0,0,0,0.81,8.68
 84-94,0.66,7.08,1.14,0,0.76,13.75,0,0,0,20.55,0,11.5,0,25.87,0,0,0,0,0,20.62,0,0,0.71,0,0,1.51,0,0,0,0
 96-106,3.27,5.71,0,0,0,9.19,0.57,0,3.22,21.63,0,19.48,0,22.07,0,0,0,0,0,20.46,0.59,0,14.87,0,0,0,0,0,0,0
108-118,1.15,7.92,0.65,0,2,12.28,0.55,1.02,2.94,16.04,0,8.83,0,28.72,2.82,0,0,0,0,17.65,0,1.13,2.65,0,0,0,0,5.47,0,0
120,0,1.66,3.12,2.74,0,8.29,1.19,0,0,15.42,0,33.32,0,31.18,0,0,3.54,0,0,14.21,0,0,4.37,0,0,0,0,4.36,0,0
