stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,179.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0
  5-6,12.6,110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.07,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,0,0.81,0,1.11,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,68.36,3.68,2.37,0,0,0,0,0.9,0,0,0,49.92,0,0,0,0,0
 24-34,0,0,0.8,0,0.62,1.7,0,9.82,0,0,0,0,0,0,0,6.86,0,0,0,0.61,0,0,1.65,889.04,0,41.3,3.27,0,0,0,0,0,0,1.92,179.88,0,0,0,0,0
 36-46,0,0,0,0,9.76,4.05,0,90.95,0,0,1.09,0,0,1.79,0,0.56,3.68,0,0,5.49,0,0,0,2955.84,0,56.38,3.68,0,0,0.56,0,0,0,0,344.78,0,0,0.91,0,0
 48-58,0,0,0,0,22.59,0.42,0,325.86,0,0.93,0,29,0,0,0,0,0,0,0.6,45.21,0,0,1.69,4186.15,0,37.48,14.48,0,0,1.61,0,0,0,0,599.49,0,0,7.75,0,10.4
 60-70,0,0,0,0,3.49,0.75,0,689.7,0,0.79,0,46.69,0,10.19,1.92,0,0,0,0,47.17,0,0,2.38,5957.46,0,32.14,6.31,0,0,10.7,0,0,0,0,690.39,0,0,0.7,0,0
 72-82,0,0,0.68,0,23.76,24.34,0,779.04,0,0,4.02,64.03,0,0.89,0.8,0,0,0,6.81,63.57,7.48,0.75,2.46,4838.51,0,54.57,6.64,0,0,1.99,0,1.99,0,0,435.09,0,0.66,1.59,1.72,16.93
 84-94,0,0,0,0,16.22,9.4,0,647.75,0,0,0,67.42,1.94,3.28,2.22,1.38,1.34,0,0,32.11,0,2.63,1.6,3374.41,0,45.65,4.25,0,0,17.58,0,0,0.69,0,361.32,1.06,0,13.02,0,2.23
 96-106,0,0,0,0,16.7,0.67,0,491.53,0,0.57,0,55.59,2.4,0.58,0,0,0.76,2.25,11.83,29.16,0,0,20.65,2855.02,0,85.23,1.69,0,0.81,9.57,0,0,0.84,0,131.44,1.74,1.76,1.91,0,1.22
108-118,0,0,4.64,0,37.71,8.64,3.92,381.84,0.56,0,1.48,33.92,0.7,0,1.63,1.03,3.54,0.51,0.56,46.82,1,5.28,1.33,4767.33,0,55.72,2.92,0,2.83,5.04,0.48,0,0.43,0,89.74,2.43,3.08,4.5,0,3.99
120,2.82,0,0,0,67.44,3.48,0,664.57,0,14.64,18.41,68.5,0,0,8.69,8.13,0,0,0,56.57,0,0,1.06,6279.23,0,105.25,23.47,0,0,14.29,0,0,0,0,105.38,2.31,3.84,4.29,0,0
