stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,124.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,93.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,4.07,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.19,0,2.37,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,1.13,2.12,0,0,0.95,141.79,2.04,3.74,0,0,0,0,0,0,0,1.72,66.77,0,0,0,0,0
 24-34,0,2.79,0,6.8,0,0,10.79,0.72,0.64,0,0,0,2.52,0,0,0,0.75,0,0.78,4.23,0,0,0,1118.9,0,35.56,0,0,0,0,0,0,0,0,320.97,0,0,0,0,0
 36-46,0,0,0,3.19,0,0,170.4,1.64,0,0,19.82,0,0,0,6.81,0,0,1.24,17.35,9.12,0,0.63,0.55,3676.09,0,51.71,0,0,0,0.63,0,3.89,0,0,688.63,0,0,0,0,0
 48-58,0,0,0,12.17,0,0,855.26,0,0.81,1.16,53.82,0,0,0,0,7.78,0.82,0,18.03,33.66,0,1.5,1.98,4061.19,4.97,32.64,0.4,0,0,0.43,0,0,0,0,634.89,0,0,1.28,0,18.31
 60-70,0,0,0,1.58,0,0,2473.73,0,0,0,87.1,0,0.9,6.09,0,17.21,1.16,0,1.24,31.55,1.83,0.63,3.64,5307.03,0,27.86,0.63,0,1.65,13.76,0,0,0,0,779.69,0,1.27,0,0,13.54
 72-82,0,2.09,0,14.35,1.89,0,2011.19,0,0,10.85,98.04,4.69,0,4.62,0.63,4.74,0,12.84,13.28,32.05,0,0,1.3,3920.53,0,23.36,8.01,0,0,0.82,1.65,1.62,0.79,0,424.11,0,0.67,0.82,0,19.23
 84-94,0,4.07,0,14.27,2.9,0,1287.3,2.24,0,0,75.9,0.68,1.02,1,0,1.99,0.69,0.83,45.89,37.9,0,1.77,5.27,2810.77,0.65,21,7.77,0,0,13.56,0,0,0.64,0,299.56,0,0,4.89,2.8,8.52
 96-106,0,2.09,0,7.97,7.68,0,1285.14,0,0.6,0,70.14,1.9,0,2.16,0,0.71,0,0,0.77,24.16,3.89,1.34,1.44,2034.43,0,44.8,3.72,0,0,11.35,0,0,0,0,100.5,0.61,0.88,1.29,0.64,24.33
108-118,0,0.8,0,27.58,1.95,0,1059.36,0.56,1.64,0,56.3,1.04,0,2.75,0,5.65,0,0.45,3.82,30.39,0,1.23,1.06,2209.73,0,15.46,2.46,0,0,1.2,0,2.42,0,0,114.41,0.89,0,0.71,3.34,0
120,0,0,0,28.28,0,13,798.66,0,0,0,130.8,2.66,0,0,1.51,1.11,5.46,0,18.94,57.09,0,0,0,3574.25,0,23.02,1.66,0,0,2.82,0,0,6.93,0,132.91,0,0,1.96,0,13.4
