stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4.63,119.31,33.62,8.57,0,6.52,0,0,1.58,0.98,6.1,0,0,1.83,0,0,1.01,20.13,0,0,23.51,97.62,2.05,2.15,0,0,4.01,7.9,0,1.99,17.25,14.07,0,0,75.49,0,7.43
 24-34,0,0,0,86.2,8.97,27.68,0,86.69,14.26,1.45,0,0,24.84,5.86,0.62,5.06,5.52,0.76,6.59,123.64,0,3.32,42.99,201.06,0,0,2.62,0,28.25,0,0,0,2.01,32.31,0,0,409.77,0,36.11
 36-46,0,0,0,66.79,18.5,64.9,2.69,107.58,18.31,17.34,0,0,14.87,0.81,12.86,69.35,1.38,0,45.08,149.79,1.07,1.81,32.05,189.89,3.32,2.13,1.82,4.12,18.71,0,0,0,0,42.23,0,0,422.22,0,69.88
 48-58,1.15,0,0,31.76,2.22,59.01,10.66,49.83,39.59,31.65,3.32,0.48,26.67,1.26,0,79.27,5.88,0,26.83,262.53,0,1.97,27.52,219.43,11.26,1.13,10,0.99,34.54,0,0,2.31,0,30.32,0,1.87,357.07,0,77.53
 60-70,0,0,0,102.55,25.04,58.99,3.73,115.94,45.61,55.27,0.62,0,13.62,2.38,1.39,187.32,2.67,1.57,18.11,385.16,0,6.03,26.41,193.6,2.7,2.42,0,4,33.18,0,0,2.54,0,15.38,0.81,3.57,296.34,0,100.22
 72-82,0,0,0.56,47.97,12.96,59.3,11.15,117.55,59.13,71.94,2.15,0,16.77,0.5,2.84,126.4,6.27,0,7.26,549.81,0,4.62,25.2,146.95,2.64,0,11.9,2.03,16.51,0,1.23,0,0,3.3,0.92,8.75,498.55,7.24,83.08
 84-94,0,0,0,42.48,0,79.42,8.95,142.82,62.07,55.73,3.76,0,23.72,5.93,4.1,272.48,4.43,3.56,19.75,478.83,0,16.99,19.65,127.97,1.81,2.22,4.1,3.89,37.16,0,2.09,2.02,0,2.27,3.4,12.23,474.79,4.8,59.71
 96-106,0,2.92,0,43.01,12.45,46.05,0.64,134.99,26.07,59.48,1.28,0,25.85,9.33,4.88,286.03,2.09,3.65,10.36,337.91,0,13.89,18.46,150.01,1.6,3.26,6.52,5.22,44.08,0,3,1.83,0,9.76,1.01,6.9,433.83,5.23,40.2
108-118,0,0,0,62.3,8.49,61.57,2.74,186.48,56.36,70.03,2.01,0,8.2,8.97,8.51,460.64,4.05,11.06,19.51,385.75,0.77,2.11,13.88,117.17,0.56,1.62,5.54,29.01,30.3,0,2.96,7.64,0,6.54,0,10.41,444.04,7.68,77.66
120,0,2.96,0,99.15,1.42,59.74,12.99,154.96,65.22,143.84,3.33,0,48.7,6.05,3.88,320.91,0,0,12.38,467.49,3.16,39.41,34.04,147.1,17.9,2.4,16.72,2.03,37.85,0,0,0,0,6.18,0,3.74,469.07,8.57,37.45
