stage,blastomeres,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,0,0,7.87,0,0,4.93,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,1.75,0,0,0,0,0,0,1.15,0,0
 24-34,0,0,1.51,0,0.75,5.74,1.36,0,0,0.99,0,0,3.26,0,0
 36-46,0,1.01,0,0,0,5.67,6.99,0,0,0,0,0,0.73,0,0
 48-58,0,0,1.69,0,0,4.37,13.14,0,0,0,0,0,0.89,0,0
 60-70,0,0.67,3.21,0,0,9.63,91.46,1.69,0,0.96,0,0,0,0,0
 72-82,0,11.86,10.1,0,0.58,1.3,47.8,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.62,0,1.83,46.19,0,0,0,1.09,0,0,0,0
 96-106,0,0,2.98,0,0,0,158.37,0,0,0,0,0,2.21,0,0
108-118,0,0,0,0,1.22,3.02,133.23,4.97,0,0,0,0,3.25,0.5,0.47
120,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0
