stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.43,125.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,103.36,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.16,4.69,0,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,38.55,0,0,0,0,0,0,17.63,0,0,0,0
 24-34,0,0,1.29,0,1.69,0,0,0,0,0,0,1.2,0,0,0,170.73,0,0.63,0,0,0,0,35.11,0,0,0,0
 36-46,0,0,0.95,0.73,19.45,0,2.22,0,0.93,0,0,0,0,0,0,296.06,0,14.12,0,0,0,0,63.17,0,0,0,0
 48-58,0,0,0,0.79,68.11,0,7.69,0,0,0,0,0,5.46,0,0.45,311.01,0,6.59,0,0,0,0,48.41,0,0,0,0
 60-70,0,0,0,0,176.99,0,13.73,0,0,0,0,0,0.67,0,0,326.94,0,4.4,0,0,0,0,49.47,0,0,0,0
 72-82,0,0,0,1.34,134.1,0.51,5.68,0,0,0,0,0.62,5.82,0,0,254.48,0,3.15,1.79,0,0.77,3.53,23.9,0,0,0.9,1.17
 84-94,0,0,0,2.71,137.39,0,5.92,0,0,0,0,0,8.07,0,0,141.99,0,6.32,0.66,0,0,0,16.94,0.9,0.75,0,0.7
 96-106,0,0,0,0,111.88,0,5.37,0.83,0,0,0.62,0,0.76,0,1.94,139.1,0,6.22,3.55,0,0,0,13.37,0,0,0,0
108-118,0,0,0.57,5.02,147.39,0,19.1,1.07,0,0,0,0,2.64,0,0,190.19,0,2.66,0,0,0,0.42,6.28,0,1.57,0,0
120,0,0,1.73,0,81.64,0,7.54,0,0,4.75,0,0,0,6.81,0,215.97,0,11.43,0,0,0,0,17.3,0,0,0,0
