stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0.92,0,0,0,0,0,0,0,0,0,0,2.83,0,0.89,2.59,0,0
 24-34,0,0.8,0,0.64,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0
 36-46,0,0,0,1.66,0,0.91,0,0,0.65,0,0,0.61,10.54,0,0,2.24,0.69,0
 48-58,0,0,2.22,6.36,0,0,0,0,2.28,0.8,0,0,19.11,7.92,0,5,0,0
 60-70,0,0.65,0,2.51,0,1.89,0.85,6.47,4.55,0,0,0,25.05,0,0,0.87,0,0
 72-82,0,0.96,0,7.03,0,0,0.58,0,6.34,0,0.81,0,4.33,0,0,0,0,0
 84-94,0,0,0,2.39,2.27,0,1.4,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.07,0,0,1.09,0,0,7.19,0,0,0,0,0,10.48,0,4.88,0,0,0
108-118,0,0,0,0,0,0,3.32,1.02,0,0,0,0,14.78,0,1.31,0,0,0
120,0,0,0,9.29,0,0,14.68,1.14,2.2,0,0,0,41.99,0,1.09,0,1.76,1.96
