stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,2.36,3.17,14.43,6.84,7.05,0,0,0,2.95,1.75,0,0,0,0,0,0,0,0,8.2,0,0,9.68,102.67,6.72,0,0.93,0.83,0,0.83,9.17,0,2.41,15.09,30.07,0,0,1.94,0,0
 24-34,0,0,1.86,8.31,0,21.48,2.28,2.47,0,2.64,0.68,0.76,0.95,1.7,0,11.61,1.89,0,0,17.34,0,0,7.74,332.29,0,0.77,1.3,0,0,5.76,0,1.34,0,5.67,78.75,0,0,7.62,0,0.79
 36-46,0,0,0,10.35,0,50.75,0,0,0,11.52,0,0,0,0,0,1.21,0,0,4.72,24.43,0,0,9.77,360.45,2.42,5.44,0.58,0,0,4.18,0,0,0,0,91.83,0,0,0,0,0
 48-58,0,0,0,10.14,0,86.15,0,0,0.56,14.65,0,0,0.94,2.06,4.01,0,0,0,0,36.13,0,0.45,3.18,235.29,0,1.29,1.68,0,0,1.54,0,0,1.48,0,42.12,0,0.42,0.48,0,2.8
 60-70,0.81,0,0,1.43,0,115.94,0,0.62,1.06,19.98,0.68,2.2,1.64,0.72,0,0,0,0,0,13.67,0.62,0,1.4,254.18,0,0,3.21,0,0,8.69,0,0,0,0,18.52,0,0,0.58,0,7.9
 72-82,0,2.5,0,0.56,0,99.41,0,0.78,1.2,14.25,1.48,0,0.58,1.19,0,0,0.51,2.33,0,32.17,0,0.81,0,103.81,0,1.87,2.53,0,1.4,0.59,0,0,0,0,24.58,0,0,0,1.28,0
 84-94,0,0,0,2.34,0.84,69.19,0,1.25,1.87,17.4,0,0,0,0.72,0,0.83,1.05,9.21,0,24.58,0,4.41,3.68,95.71,0,0.83,2.1,0,0,5.68,0,0,0,0,11.35,0,0,0,0,0
 96-106,0,0,0,7.6,0,50,0,0,3.11,21.4,3.41,0,0,0,1.17,0,0,0.72,0,33.88,0.67,2.17,3.56,102,0,2.69,0.9,0,0,14.12,0,0.67,0.82,0,10.45,0,0,1.48,0,0
108-118,0,0.64,0,2.83,0,58.05,0.54,1.64,0,20.36,0.45,0,0,0.48,6.37,0,0.63,0,0,16.58,0,0,1.07,81.2,0,1.12,0,0,0,0.87,0,0.81,0,0,5.02,1.2,0,3.6,0,0
120,0,2.96,0,13.32,0,18.91,0,2.42,0,29.07,0,0,0,1.69,0,0,3.87,0,0,8.71,0,17.02,5.55,103.04,0,0,0,0,0,6.28,0,0,0,0,0,0,0,7.03,0,0
