stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste
 14-21,0,0.88,1.32,0,0.97,0,0,0,0,0,0,0,4.41,0,0,8.54,0,1.27,0,0,0,3.11,0
 24-34,0,0.65,0,0,4.33,0,4.08,0,1.37,0,0,0,0.65,0,3.81,38.85,3,1.3,0,0,0,6.9,0
 36-46,0,0,0,0,5.24,0,0,0,0,0,0,0,2.3,0,0,30.08,2.62,0,0,0.59,0,13.44,0
 48-58,0,0,0.39,0,1.17,0,2.41,0,0,0,0,0.95,1.84,0,0.5,37.13,2.45,0.84,0,0,0,1.56,0
 60-70,0,4.46,4.16,0,4.35,0,12.85,4.35,0,0,0,10.2,4.56,0,0,65.1,2.28,0,0,0,0,20.71,0
 72-82,0,1.03,65.63,0,7.99,0.7,13.16,0,0,0,0,3.51,0.77,2.05,0,73.19,0,1.09,0,0,0,4.92,6.07
 84-94,2.24,1.71,50.35,0,18.35,0,18.32,2.46,0,0,0,6,0,0,0,48.25,1.81,0.71,0,0,0,5.73,0.91
 96-106,0,1.89,78.53,1.93,4.11,0,5.65,5.54,0,0,0.93,2.76,3.74,1.42,0,34.32,2.65,0.61,0,3.33,0,0,0
108-118,0,0.76,59.41,1.48,22.74,0,10.49,0,0,0.46,0,5.34,2.01,0,0,73.31,0.84,0,0,0,1.88,10.84,0
120,0,0,71.84,0,16.05,0,20,0,0,0,1.77,22.51,3.14,0,0,218.92,33.96,0,16.5,0,0,17.7,0
