stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,5.45,0,0,5.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,0,0,0,0,11.12,0,0,0,0,214,0,184.49,3.5,0,0,0,0,0,0,1.78,0,7.54,0,0,0,0,0
 24-34,0,8.12,0.69,1.25,139.36,37.81,0,28.63,0,0,0,0,493.47,0,388.05,24.16,9.03,1.29,1.83,0,0,0.7,0,1.97,6.46,0,0,0,1.41,0
 36-46,0,12.31,0,2.4,474.77,352.08,0,10.82,14.62,0,14.63,0,344.5,0,168.79,51.5,0,0,1.29,0,0,0,0,0,0,6.94,0,2.27,0,0
 48-58,0,10.02,1.58,16.43,701.42,655.51,15.87,1.39,0,0,0,0,177.16,0,78.42,137.37,0,0,37.39,0,0,9.7,0,0,0,8.51,0,0,0,0
 60-70,0,8.85,0,11.59,681.88,748.91,16.98,0,0,0,0,0,277.11,0.63,10.58,174.16,0,0,48.57,0,0,0.79,0,0,0,2.41,0,4.25,0,0.73
 72-82,0,8.51,0,49.9,361.27,701.95,19.25,0,0.49,0.85,0.78,0,257.25,2.69,29.37,113.32,0,1.46,29.19,0,3.99,0,0,0,0,0.7,0,3.02,0.91,5.29
 84-94,0,17.62,0,57.59,429.48,495.93,14.96,0,1.35,0,0,0,344.67,5.55,11.75,92.3,0,0,60.7,0,0,1.32,0,0,0,4.15,0,7.98,20.14,2.86
 96-106,0,16.69,0,7.13,173.55,256.23,4.59,0,1.58,0,1.77,0,204.24,8.06,10.08,99.33,0,0,31.8,0,0,0,0,0,0,5.3,0,6.13,0.77,0
108-118,0,18.58,0,19.3,185.55,263.61,12.69,0,3.65,0,4.4,0,355.12,4.25,29.76,69.81,0,0,13.61,0,0,0,0,0.42,0,8.24,0,13.61,8.65,0.44
120,0,47.48,0,15.94,81.27,354.68,31.13,0,0,0,2.63,7.84,330.6,0,9.08,139.12,0,0,18.26,0,16.5,0,0,0,0,7.73,6.78,19.72,0,0
