stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,27.74,1167.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.55,0,0,0,0,0,0,0
  5-6,0,139.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.59,0,0,9.26,0,0,0,0,0,0,0,0,30.48,4.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,4.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.6,0,0,0,1.48,0,8.47,3.11,18.33,8.34,0,0,0.86,3.07,8.74,0,229.04,1163.37,1.27,0,0
 24-34,0,0,0,0,0,9.25,3.15,0.68,0,0,1.57,0,10.49,4.4,17.11,19.78,0,0.95,0,8.62,0,0.8,20.74,611.64,6.97,0,0
 36-46,0,0,0,0,1.16,0,1.63,12.73,0,0,0,0,7.65,2.18,3.34,17.08,0,0,0,0,0,0,1.93,12.48,0,0,1.02
 48-58,0,0,0,0,0,0,1.7,0.95,0.41,0,1.08,0,1.53,0,13.33,6.42,0,0,0,0,0,0,0.39,0,2.5,0,0
 60-70,0,0,0,0,0.89,0,5.59,11.94,2.9,0,0,0,1.79,1.44,8.77,0,0,0,0,0,0,0,0,0,10.53,0,0
 72-82,0,0,0,0,0,0,7.33,3.82,0,0.9,0.98,0,1.25,2.27,3.81,5.43,0,1.46,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.37,0,0.64,3.01,4.41,8.21,0,0,3.28,0.71,1.43,2.66,4.96,3.81,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.1,0,0.6,0,6.7,8.19,0,0,2.03,3.83,1.02,0,6.05,9.75,0,0,0,0,0,0,0,0,0,1.08,0
108-118,0,0,1.22,0,0,0,10.3,6.05,1.2,0,0,0,0.73,0.77,10.96,5.74,0,0,0,0,0,0,1.02,0,0,0,0
120,0,0,8.73,0,1.46,0,16.92,9.64,0,3.46,0,0,1.15,2.5,4.73,35.92,0,0,0,0,0,0,0,0,1.91,0,0
