stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.07,1.72,0,0,1.47,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,275.95,2.66,20.04,0,0,0,0,0,0,0.91,272.58,0,0,0,0,0
 24-34,0,7.1,10.41,0,0,31.56,0,0,0,8.41,0,6.5,0,0,11.41,0,0,3.43,1.19,14.23,0,0,10.94,2371.77,7.23,85.84,9.92,0,12.84,0,0,0,0,1006.19,0,0,1.69,0,0
 36-46,0,6.21,8.63,0,0,147.82,0,0,0,11.27,0.61,0,2.64,0,11.86,0,0,0,1.37,11.67,0,0,15.24,5967.38,0,78.92,19.96,0,5.63,0,6.73,0,0,1409.05,0,0,0.81,0,0
 48-58,0,2.8,38.28,2.59,0,953.32,0,2.6,1.29,89.16,0.47,1.7,0,0.76,0.46,7.73,4.03,3.5,6.23,81.18,0,1.29,15.36,8689.74,18.13,43.91,13.98,0,19.28,0,0,1.65,0,1423.11,0,0.42,5.27,0,32.35
 60-70,0,3.03,19.14,0,0,2778.98,1.33,15.47,0,63.65,0,0,1.5,13.66,0,0,10.14,0,5.25,81.86,0,2.38,9.64,11135.83,0,37.75,28.56,1.44,18.61,0,0,0,0,1410.21,0,0,2.86,0,55.39
 72-82,0,6.79,49.16,10.93,1.16,4812.33,2.03,1.99,8.78,147.29,10.54,0.67,1.41,3.54,1.1,16.04,19.92,0.96,1.89,142.33,3.53,9,6.68,10968.47,0.56,45.89,46.61,0,24.33,0,0,1.5,0,859.46,7.97,3.46,20.31,1.9,51.19
 84-94,0,20.78,60.32,25.58,2.25,3999.66,1.17,13.22,1.56,168.07,5.44,0,0.85,3.67,1.03,1,9.04,24.01,15.46,131.54,2.84,8.65,5.52,7647.34,1.68,36.5,46.27,0,38.88,0,0,0,0,545.47,7.33,1.98,15.9,0.63,15.77
 96-106,0,10.63,48.73,44.91,2.03,3456.36,13.47,1.56,2.38,147.75,16.33,0,2.33,9.5,0.85,5.52,27.81,18.17,0.77,99.75,0,8.06,14.15,6269.12,0,52.01,56.32,12.72,40.88,3.39,2.64,0,0,350.65,7.81,1.15,14.36,0.64,5.61
108-118,0,11,70.64,25.95,0,3410.74,2.31,1.12,3.34,181.4,10.13,0,3.03,3.65,1.07,2.72,13.8,7.06,0,99.13,1.27,7.57,10.96,8571.64,2.03,37.65,48.26,0.92,35.57,0,2.9,0,0,285.43,7.7,1.06,8.55,3.5,3.48
120,0,17.55,131.42,33.54,14.33,3779.36,1.26,25.37,4.99,205.11,46.1,0,0,19.02,4.13,10.67,17.48,10.79,0,164.3,1.65,0,23.73,15197.77,5.56,61.47,80.54,0,19.96,0,3.8,0,0,493.45,3.65,26.71,39.19,25.78,8.94
