stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,periderm,spinal_cord
 14-21,0,0,0,0,0,0.82,0,0,6.35
 24-34,2.28,0,0,0,0,7.28,0.76,0.64,6.47
 36-46,0,0.6,0,1.93,0.97,14.7,0,0,0
 48-58,0,1.72,0,1.61,0,8.33,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.95
 72-82,0,0,0,0,0.94,0,0,0,0
 84-94,0,2.36,1.29,0,0,0.72,0,0,0
 96-106,1.32,0,1.39,0,0,0,0,0,0
108-118,0,0,0,1.3,0,0,0,0,0
120,1.08,0,0,8.36,0,0,0,0,0
