stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.77,0,2,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0.85,17.17,51.16,0,4.76,0.85,0,0,0.96,3.7,24.44,0,0,0,0,2.62
 24-34,0,0,0,0.64,0.81,0,0.67,0,0.74,0,0,0,2.49,0,0,0,0,0,20.93,0,16.22,15.16,13.74,0,27.08,0,0.99,1,0,3.93,63.56,0,0,0,0,9.35
 36-46,0,0,0,0,0,0,2.2,0,0,2.42,2.87,0,0.9,0,0,0.65,0,10.06,74.19,0,12.25,38,1.22,1.8,83.67,0,0,0,0,1.3,56.86,0,0,0,0,7.36
 48-58,0,0,0,0,0,0,7.02,0,0,3.69,0,0,0.55,0,0,0,0.4,0,149.23,7.83,14.98,58,4.33,0.48,35.31,0,0.46,1.21,0,1.37,74.15,0,1.35,0,0,8.69
 60-70,0,0,0,0,0.61,2.21,27.84,0.93,0,3.31,4.23,1.41,7.28,3.33,0,0,0,0,285.76,30.07,15.01,48.57,0,0,37.43,0,0,9.51,0,3.75,56.88,0,4.3,0,2.36,6.92
 72-82,0,0,0,0,0,0,134.05,0,3.45,10.98,6.8,0,16.56,0,1.51,3.21,8.37,0,428.39,22.88,10.74,113.85,0.72,1.49,55.13,0,3.66,2.29,0,4.47,25.19,0,16.72,0,17.28,5.66
 84-94,0,0,0,0,1.71,0,199.28,0,1.01,4.36,6.95,3.22,7.74,0,0,0,2.41,0,286.95,18.59,5.52,73.06,0.98,2.72,72.65,0,0.79,0,0,3.01,28.68,0,31.71,1.54,24.33,9.64
 96-106,0,0,0,0,1.85,0,257.2,3.29,2.07,14.88,8.15,0,17.09,3.96,1,0,4.17,10.14,205.83,36.78,2.21,67.41,0,3.95,75.61,0,6.2,2.37,0,6.05,11.72,0,15.64,2.81,22.73,10.61
108-118,0,0,1.79,0.74,0.56,0,290.55,0,3.3,5.47,11.88,3.46,10.74,0,0.58,0.42,1.41,4.97,291.24,28.61,7.66,91.54,0.62,1.36,102.64,0,10.71,0,0,5.4,15.78,4.36,8.59,1.11,7.64,18.16
120,1.12,0,0,1.66,25.09,15.46,492.29,0,3.24,8.78,22.34,0,20.41,0,0,0,5.98,0,271.66,45.61,6.95,131.5,7.84,4.25,111.09,0,0,0,0,2.86,7.45,2.31,7.36,0,13.92,0
