stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,0.88,2.92,0,0,3.74,0,0,0,0,0,0.99,0.89,0,0,0,0,0,0,1.02,0,0,1.06,29.95,1.13,0,0,0,0,0,3,0,0,2.13,7.01,0,0,1.09,0,0
 24-34,0,0,1.44,12.26,2.61,0,24.95,0.68,2.46,0,1.78,1.01,4.49,0,1.28,0,0,3.47,0.67,0,43.33,0,0,4.31,410.98,5.44,2.58,2.03,0,0,54.54,0,1.45,11.63,0.94,79.36,0,0,12.01,0,4.79
 36-46,0,0,0,155.58,21.33,0,104.1,38.33,35.24,0,8.44,0,0,1.06,37.67,14.17,0,0.56,0,0,46.29,0,0,18.36,631.71,29.87,11.81,21.23,16.41,0,251.35,0,11.33,28.83,0,25.16,0,5.7,41.77,0,11.25
 48-58,0,0,0,83.74,7.11,0,197.39,23.42,23.08,1.48,71.85,0,8.85,2.76,8.13,3.44,4.96,0,4.44,0,74.07,4.83,4.39,8.39,722.77,25.27,3.97,15.46,0,0,140.65,0,0,10,0,21.41,0,0,29.94,0,5.03
 60-70,0,0,0,104.26,10.83,0,502.15,9.71,19.69,2.81,98.63,7.69,0,0,30.8,27.85,15.98,14.16,10,0,145.9,0,2.43,8.32,818.32,24.18,8.68,12.11,0,7.62,111.44,0,8.07,6.07,0,107.7,3.21,5.3,23.72,0,0
 72-82,0,0,0,22.07,42.61,0,179.61,0.5,17.36,13.57,39.41,5.74,0,0,5.28,0.66,10.06,3.57,10.9,0,62.28,2.02,10.63,15.53,278.14,3.57,3.89,5.2,0,0,40.72,0,0,0,0,14.47,1.23,0.66,7.36,1.26,14.85
 84-94,0,0,0,1.18,3.59,0,48.04,0,0,0,7.05,0,0,0,11.1,1.76,0,0,0,6.42,47.27,0,0.95,0.66,55.1,0,6.35,0,0,0,8.92,0,0,0,0,3.76,0,0,3.16,1.57,0
 96-106,0,0.87,0,0,16.1,0,32.19,0,0,0,7.08,1.01,0,0,2.94,0,0,0,0,0.71,4.42,0,0,0,20.82,0,0,4.91,0,0,6.45,0,0,0,0,4.17,0,0,2.1,5.63,0
108-118,0,0,0,0,1.96,2.06,51.61,0.46,4.03,10.83,5.21,1.07,0,0,2.17,0,0.64,0,0,0,11.42,0,4.41,1.36,35.8,0,0,1.46,0,0.92,8.67,0,0,0,0,0,0,0,1.19,0.69,0.98
120,0,0,0,11.56,24.51,0,53,0,0,0,26.08,2.12,0,0,1.44,2.36,0,1.77,0,0,21.37,2.91,0,0,171.19,0,0,0,0,18.35,17.15,0,0,0,0,0,0,0,12.96,6.37,0
